[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr
keys_tomb_key|Tomb Key|Hauta-avain|Chave da Tumba|Ключ от Гробницы|墓钥匙|墓の鍵|무덤 열쇠|Grabschlüssel|Clé du tombeau
lore_keys_tomb_key|Gives access to Lady Sonya's challenge for Cauflax Tomb||Dá acesso ao desafio de Lady Sonya para a Tumba de Cauflax|Дает доступ к вызову леди Сони за гробницу Кауфлакса|||레이디 소냐의 도전 과제를 카우플락스 무덤에서 사용할 수 있습니다.||Donne accès au challenge de Lady Sonya pour le tombeau de Cauflax.
keys_devils_key|Devil's Key|Paholaisen avain|Chave do Diabo|Ключ дьявола|恶魔的钥匙|悪魔の鍵|악마의 열쇠|Teufelsschlüssel|Clé du diable
lore_keys_devils_key|Gives access to Lady Sonya's challenge for Devil's Hole||Dá acesso ao desafio de Lady Sonya para o Buraco do Diabo|Дает доступ к вызову леди Сони для Devil's Hole|||레이디 소냐의 도전 과제에 접근할 수 있습니다: 데빌스 홀||Donne accès au challenge de Lady Sonya pour la fosse du diable.
keys_pickaxe|Pickaxe|Hakku|Picareta|Кирка|鹤嘴e|つるはし|곡괭이|Spitzhacke|Pioche
lore_keys_pickaxe|Gives access to Lady Sonya's challenge for Fuji Crater||Dá acesso ao desafio de Lady Sonya para a Cratera de Fuji|Дает доступ к испытанию леди Сони за кратер Фудзи|||레이디 소냐의 후지 분화구 도전에 접근할 수 있습니다||Donne accès au challenge de Lady Sonya pour le cratère Fuji.
keys_battle_key|Battle Key|Taisteluavain|Chave de Batalha|Боевой Ключ|战斗钥匙|バトルキー|배틀 키|Kampfschlüssel|Clé de combat
lore_keys_battle_key|Gives access to Lady Sonya's challenge for Kaojin Temple||Dá acesso ao desafio de Lady Sonya para o Templo Kaojin|Дает доступ к вызову леди Сони для храма Каодзин|||레이디 소냐의 도전에 접근할 수 있게 해주는 카오진 사원||Donne accès au challenge de Lady Sonya pour le temple Kaojin.
keys_garden_key|Garden Key|Puutarhan avain|Chave do Jardim|Ключ от сада|Garden Key|Garden Key|정원의 열쇠|Gartenschlüssel|Clé de jardin
lore_keys_garden_key|Gives access to Lady Sonya's challenge for Underground Garden||Dá acesso ao desafio de Lady Sonya para o Jardim Subterrâneo|Дает доступ к вызову леди Сони для Подземного сада|||레이디 소냐의 지하 정원 도전에 접근할 수 있습니다||Donne accès au challenge de Lady Sonya pour le jardin souterrain.
keys_golden_key|Golden Key|Kultainen avain|Chave Dourada|Золотой Ключик|Golden Key|Golden Key|황금 열쇠|Goldener Schlüssel|Clé d'or
lore_keys_golden_key|Gives access to Lady Sonya's challenge for Temple Trapdoor||Dá acesso ao desafio de Lady Sonya para o Alçapão do Templo|Дает доступ к вызову леди Сони для Храмового люка|||레이디 소냐의 도전에 접근할 수 있습니다: 사원 함정문||Donne accès au challenge de Lady Sonya pour la pièce secrète du temple.
keys_axe|Axe Key|Kirves-avain|Machado |Ключ от Топора|Axe|Axe|도끼 열쇠|Axt|Hache
lore_keys_axe|Gives access to Lady Sonya's challenge for Unmarked Grave||Dá acesso ao desafio de Lady Sonya para a Sepultura sem Identificação|Дает доступ к вызову леди Сони на Безымянную могилу|||레이디 소냐의 도전 과제를 무명 묘지에서 접근할 수 있습니다.||Donne accès au challenge de Lady Sonya pour tombe anonyme.
keys_valor_key|Valor Key|Urhon avain|Chave de Valor|Ключ к Доблести|||용기의 열쇠||Clé de la Vaillance
lore_keys_valor_key|Gives access to Lady Sonya's challenge for Gladsheim Halls||Dá acesso ao desafio de Lady Sonya para os Salões de Gladsheim|Дает доступ к конкурсу леди Сони для залов Гладсхейма|||레이디 소냐의 글래드쉼 홀 도전 과제에 접근할 수 있습니다.||Donne accès au challenge de Lady Sonya pour le hall de Gladsheim.
keys_naga_scale_key|Naga Scale Key|Nagasuomuavain|Chave de Escama de Naga|Ключ Шкалы Нага|||나가 비늘 열쇠||Clé d'écailles de naga
lore_keys_naga_scale_key|Gives access to Lady Sonya's challenge for Naga Temple||Dá acesso ao desafio de Lady Sonya para o Templo Naga|Дает доступ к вызову леди Сони для храма Нага|||나가 사원에서 레이디 소냐의 도전을 할 수 있는 접근 권한을 줍니다||Donne accès au challenge de Lady Sonya pour le temple Naga.
keys_magma_key|Magma Key|Magma-avain|Chave de Magma|Магматический Ключ|||마그마 열쇠||Clé magmatique
lore_keys_magma_key|Gives access to Lady Sonya's challenge for Muspelheim||Dá acesso ao desafio de Lady Sonya para Muspelheim|Дает доступ к вызову леди Сони для Муспельхейма|||무스펠하임의 레이디 소냐 도전에 접근할 수 있습니다.||Donne accès au challenge de Lady Sonya pour Muspelheim.
keys_hellflame_torch|Helflame Torch|Kiirastulisoihtu|Tocha Helflame|Вспомогательный Огненный Факел|||지옥불 횃불||Torche infernale
lore_keys_hellflame_torch|Gives access to Lady Sonya's challenge for Niflhel||Dá acesso ao desafio de Lady Sonya para Niflhel|Дает доступ к вызову леди Сони для Нифльхель|||니플헬에서 레이디 소냐의 도전에 접근할 수 있습니다||Donne accès au challenge de Lady Sonya pour Niflhel.
keys_warp_key|Warp Key|Warppi avain|Chave de Dobra|Деформирующий Ключ|||워프 키||Clé de la distorsion
lore_keys_warp_key|Gives access to Lady Sonya's challenge for Distorted Horizons||Dá acesso ao desafio de Lady Sonya para os Horizontes Distorcidos|Дает доступ к вызову леди Сони из-за искаженных горизонтов|||레이디 소냐의 왜곡된 지평선 도전에 접근할 수 있습니다||Donne accès au challenge de Lady Sonya pour l'horizon distordu.
keys_storage_key|Storage Key|Varaston avain|Chave do Armazém|Ключ для хранения|||저장소 열쇠||Clé de stockage
lore_keys_storage_key|Gives access to Lady Sonya's challenge for Arm's Storage||Dá acesso ao desafio de Lady Sonya para o Armazém de Armas|Дает доступ к заданию леди Сони по хранению оружия|||레이디 소냐의 도전 과제에 접근하여 무기 저장고를 이용할 수 있습니다.||Donne accès au challenge de Lady Sonya pour le stockage de bras.
keys_bifrost_key|Bifröst Key|Bifröstin avain|Chave Bifröst|Бифрестовый Ключ|Bifröst Key|Bifröst Key|비프로스트 열쇠|Bifröst Key|Clé Bifröst
lore_keys_bifrost_key|Opens a wormhole to the Bifröst||Abre um buraco de minhoca para o Bifröst|Открывает червоточину в Бифрест|||비프로스트로 가는 웜홀을 엽니다||Crée un portail vers le Bifröst
keys_mysterious_key|Mysterious Key||Chave Misteriosa||||수수께끼의 열쇠||
lore_keys_mysterious_key|Look for a door in Dhorn Farum...||Procure por uma porta em Dhorn Farum..||||Dhorn Farum에서 문을 찾아보세요...||
keys_curacan_key|Curacan Key||||||쿠라칸 열쇠||
lore_keys_curacan_key|Opens the door to Curacan Hollow.||||||쿠라칸 할로우로 가는 문을 엽니다.||
keys_ankh_eternal_death|Ankh of Eternal Death||||||영원한 죽음의 앙크||
lore_keys_ankh_eternal_death|Key to the Tomb of Amun Ra..||||||아문 라의 무덤 열쇠..||
|||||||||
craft_keys_ankh_eternal_death|Craft this ancient key to gain access into the Tomb of Amun-Ra..||||||이 고대 열쇠를 제작하여 아문-라의 무덤에 접근하세요.||
craft_keys_ruby_key|Craft a ruby key to gain access into Ruby Gardens..||||||루비 열쇠를 제작하여 루비 가든에 들어가세요.||
craft_keys_key_of_terror|Craft this dark key to gain access into Fallen Inoya..||||||이 어두운 열쇠를 제작하여 타락한 이노야에 접근하세요.||
|||||||||
[Collectibles]|||||||||
collectible_battle_fragment|Battle Fragment|Taistelusirpale|Fragmento de Batalha|Фрагмент битвы|战斗碎片|バトルフラグメント|전투 파편|Schlachtfragment|Fragment de combat
collectible_dimensional_shard|Dimensional Shard|Ulottuvuussirpale|Fragmento Dimensional|Размерный Осколок|空间碎片|次元の破片|차원의 파편|Dimensionaler Scherbe|Éclat dimensionnel
collectible_gurags_soul|Gurag's Soul|Guragin sielu|Alma de Gurag|Душа Гурага|||구라그의 영혼||Âme sellée de Gurag
collectible_deaths_sigil|Death's Sigil|Kuoleman merkki|Sigilo da Morte|Символ смерти|死亡印章|死の言葉|사신의 인장|Todessiegel|Sceau de la Mort
collectible_damiens_eye|Damien's Eye|Damienin silmä|Olho de Damien|Глаз Дэмиена|达米安之眼|ダミアンの目|데미언의 눈|Damiens Auge|Oeil de Damien
collectible_anubis_ankh|Anubis' Ankh|Anubiksen ankhi|Ankh de Anubis|Анкх Анубиса|阿努比斯的生命之符|アヌビスのアンク|아누비스의 앵크|Anubis' Kreuz|Ankh d'Anubis
collectible_karp_kings_bellybutton|Karp King's Bellybutton|Karppikuninkaan napa|Umbigo do Rei Carpa|Пупок Короля Карпа|卡普王的肚脐|カープキングのおへそ|잉어 왕의 배꼽|Karpfenkönigbauchnabel|Nombril du roi Carpe
collectible_satans_horn|Satan's Horn|Saatanan sarvi|Chifre de Satanás|Рог сатаны|撒旦之角|サタンの角|사탄의 뿔|Teufelshorn|Corne de Satan
collectible_old_coin|Ancient Coin|Muinainen kolikko|Moeda Anciã|Древняя Монета|古老的硬币|古代のコイン|고대 동전|Uralte Münze|Pièce antique
collectible_bifrost_fragment|Bifröst Fragment|Bifröstin sirpale|Fragmento de Bifröst|Bifröst Fragment|||비프로스트 조각||Fragment de Bifröst
collectible_braggite_shard|Braggite Shard|Braggite sirpale|Fragmento de Braggite|Осколок Браггита|||브래그이트 조각||Éclat de braggite
collectible_essence_of_gods|Essence of Gods|Jumaluute|Essência dos Deuses|Сущность богов|||신들의 정수||Essence des dieux
collectible_gold_token|Gold Token|Kultapoletti|Token Dourado|Золотой Жетон|||골드 토큰||Jeton d'or
collectible_naga_scale|Naga Scale|Nagan suomu|Escama de Naga|Шкала Нага|||나가 비늘||Écaille de naga
collectible_soul_of_anguish|Soul of Anguish||Alma da Angústia||||고뇌의 영혼||
collectible_soul_of_despair|Soul of Despair||Alma do Desespero||||절망의 영혼||
collectible_soul_of_corruption|Soul of Corruption||Alma da Corrupção||||타락의 영혼||
collectible_scroll_of_ra|Scroll of Ra||||||라의 두루마리||
collectible_colosseum_fragment|Colosseum Fragment||||||콜로세움 조각||
|||||||||
lore_collectible_soul_of_anguish|Soul fueled by anguish..||Alma alimentada pela angústia..||||고통에 의해 연료를 공급받는 영혼..||
lore_collectible_soul_of_despair|Soul fueled by despair..||Alma alimentada pelo desespero..||||절망으로 채워진 영혼..||
lore_collectible_soul_of_corruption|Soul fueled by corruption..||Alma alimentada pela corrupção..||||부패로 인해 힘을 얻은 영혼..||
lore_collectible_scroll_of_ra|???||||||???||
lore_collectible_colosseum_fragment|Can you hear the sound drums and a crowd hungering for blood?||||||북소리와 피를 갈망하는 군중의 함성을 들을 수 있나요?||
|||||||||
[Consumables]|||||||||
consumable_minor_healing_potion|Minor Healing Potion||Poção de Cura Menor|Незначительное Целебное Зелье|||소형 치유 물약||Petite potion de santé
consumable_light_healing_potion|Light Healing Potion||Poção de Cura Leve|Легкое Целебное Зелье|||가벼운 치유 물약||Potion de santé moyenne
consumable_healing_potion|Healing Potion||Poção de Cura |Целебное Зелье|||치유 물약||Potion de santé
consumable_greater_healing_potion|Greater Healing Potion||Poção de Cura Maior|Великое Целебное Зелье|||상급 치유 물약||Grande potion de santé
consumable_superior_healing_potion|Superior Healing Potion||||||상급 치유 물약||
consumable_colossal_healing_potion|Colossal Healing Potion||||||거대한 치유 물약||
consumable_minor_mana_potion|Minor Mana Potion||Poção de Mana Menor|Незначительное Зелье Маны|||소형 마나 물약||Petite potion de mana
consumable_light_mana_potion|Light Mana Potion||Poção de Mana Leve|Зелье Легкой Маны|||라이트 마나 포션||Potion de mana moyenne
consumable_mana_potion|Mana Potion||Poção de Mana |Зелье Маны|||마나 물약||Potion de mana moyenne
consumable_greater_mana_potion|Greater Mana Potion||Poção de Mana Maior|Зелье Большей Маны|||상급 마나 물약||Grande potion de mana
consumable_superior_mana_potion|Superior Mana Potion||||||상급 마나 물약||
consumable_colossal_mana_potion|Colossal Mana Potion||||||거대한 마나 물약||
consumable_rejuvenation_potion|Rejuvenation Potion||Poção de Rejuvenescimento|Зелье омоложения|||회복 물약||Potion de rajeunissement
consumable_full_rejuvenation_potion|Full Rejuvenation Potion||Poção de Rejuvenescimento Total|Зелье Полного Омоложения|||완전 회복 물약||Potion de rajeunissement total
consumable_reroll_token|Gambler's Token||Token do Apostador|Жетон игрока|||도박꾼의 토큰||Jeton de joueur
consumable_socket_token|Socketing Token||Token de Engaste|Вставной Токен|||소켓 토큰||Jeton d'emplacement
consumable_edible_pas_logo|Edible PAS Logo||Logo da PAS Comestível|Съедобный Логотип PAS|||먹을 수 있는 PAS 로고||Logo PAS comestible
consumable_puzzle_box|Ancient Puzzle||Quebra-cabeça Antigo||||고대 퍼즐||
consumable_soul_of_hatred|Soul of Hatred||Alma do Ódio||||증오의 영혼||
consumable_essence_elixir|Essence Elixir||Elixir de Essência||||정수의 엘릭서||
consumable_essence_elixir_devtest|Essence Elixir (TEST)||Elixir de Essência (teste)||||정수의 엘릭서 (테스트)||
consumable_exp_elixir_devtest|Experience Elixir (TEST)||Elixir de Experiência (teste)||||경험치 엘릭서 (테스트)||
consumable_codex_of_eternity|Eternity Codex||||||영원의 코드||
|||||||||
lore_consumable_puzzle_box|We are the explorers in the further regions of experience. Demons to some, angels to others..||Nós somos os exploradores nas regiões mais distantes da experiência. Demônios para alguns, anjos para outros...||||우리는 경험의 더 먼 영역을 탐험하는 자들입니다. 어떤 이들에게는 악마이고, 다른 이들에게는 천사입니다...||
lore_consumable_soul_of_hatred|Opens a gateway to the Circle of Hatred||Abre um portal para o Círculo do Ódio||||증오의 원으로 가는 관문을 엽니다||
lore_consumable_essence_elixir|Consume to gain Essence of Incarnation.||Consuma para ganhar Essência da Incarnação.||||소비하여 화신의 정수를 얻으십시오.||
lore_consumable_essence_elixir_devtest|Nimo scams your Essence||Nimo rouba a sua Essência||||||
lore_consumable_exp_elixir_devtest|Nimo scams your Experience||Nimo rouba a sua Experiência||||||
lore_consumable_codex_of_eternity|A sacred codex granting its user the power to modify the essence of time and space..||||||사용자에게 시간과 공간의 본질을 수정할 수 있는 힘을 부여하는 신성한 코덱스.||
|||||||||
craft_consumable_codex_of_eternity|Eternity Codex can be used to turn a zone satanic. You can socket the codex to boost the satanic zone or even create a runeword granting a powerful buff. The satanic zone debuffs are randomized when the codex is consumed.||||||영원의 코덱스를 사용하여 구역을 사탄화할 수 있습니다. 코덱스를 소켓에 장착하여 사탄화 구역을 강화하거나 강력한 버프를 부여하는 룬워드를 생성할 수도 있습니다. 코덱스가 소모될 때 사탄화 구역의 디버프는 무작위로 결정됩니다.||
craft_consumable_soul_of_hatred|Merge the souls of prime evils to gain access into the circle of hatred.. ||||||최악의 악마들의 영혼을 합쳐 증오의 원에 접근하세요.||
craft_consumable_edible_pas_logo|Wonder what happens when you use this one..||||||이걸 사용하면 무슨 일이 일어날까..||
craft_consumable_light_healing_potion|Merge Minor Healing Potions into a Light Healing Potion.||||||소형 치유 물약을 합쳐서 경미한 치유 물약으로 만드세요.||
craft_consumable_healing_potion|Merge Light Healing Potions into a Healing Potion.||||||라이트 힐링 포션을 합쳐 힐링 포션을 만드세요.||
craft_consumable_greater_healing_potion|Merge Healing Potions into a Greater Healing Potion.||||||치유 물약을 합쳐서 상급 치유 물약을 만드세요.||
craft_consumable_light_mana_potion|Merge Minor Mana Potions into a Light Mana Potion.||||||소형 마나 물약을 합쳐서 라이트 마나 물약을 만드세요.||
craft_consumable_mana_potion|Merge Light Mana Potions into a Mana Potion.||||||라이트 마나 포션을 합쳐서 마나 포션을 만드세요.||
craft_consumable_greater_mana_potion|Merge Mana Potions into a Greater Mana Potion.||||||마나 물약을 합쳐서 대마나 물약으로 만드세요.||
craft_consumable_full_rejuvenation_potion|Merge Rejuvenation Potions into a Full Rejuvenation Potion.||||||회복 물약을 합쳐서 완전 회복 물약으로 만드세요.||
|||||||||
[Flasks]|||||||||
flask_lesser_flask_life|Lesser Life Flask||||||하급 생명 플라스크||
flask_minor_flask_life|Minor Life Flask||||||소형 생명 물약||
flask_flask_life|Life Flask||||||생명 물약||
flask_large_flask_life|Large Life Flask||||||대형 생명 물약||
flask_greater_flask_life|Greater Life Flask||||||상급 생명 물약||
flask_superior_flask_life|Superior Life Flask||||||최상급 생명 물약||
flask_colossal_flask_life|Colossal Life Flask||||||거대한 생명 플라스크||
flask_lesser_flask_mana|Lesser Mana Flask||||||하급 마나 플라스크||
flask_minor_flask_mana|Minor Mana Flask||||||소형 마나 플라스크||
flask_flask_mana|Mana Flask||||||마나 플라스크||
flask_large_flask_mana|Large Mana Flask||||||대형 마나 플라스크||
flask_greater_flask_mana|Greater Mana Flask||||||상급 마나 플라스크||
flask_superior_flask_mana|Superior Mana Flask||||||상급 마나 플라스크||
flask_colossal_flask_mana|Colossal Mana Flask||||||거대한 마나 플라스크||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
[Socketables]|||||||||
socketable_rune|Rune||Runa|Руна|||룬||Rune
socketable_el_rune|Ol||Ol|Ол|||||Ol
socketable_eld_rune|Old||Old|Старый|||구식||Old
socketable_tir_rune|Tor||Tor|Тор|||||Tor
socketable_nef_rune|Naf||Naf|Наф|||||Naf
socketable_eth_rune|Eth||Eth|ETH|||||Eth
socketable_ith_rune|Uth||Uth|Утх|||||Uth
socketable_tal_rune|Tul||Tul|Tul|||||Tul
socketable_ral_rune|Rex||Rex|Рекс|||||Rex
socketable_ort_rune|Ert||Ert|Ert|||||Ert
socketable_thul_rune|Thal||Thal|Тал|||||Thal
socketable_amn_rune|Ymn||Ymn|Имн|||||Ymn
socketable_sol_rune|Sal||Sal|Сэл|||||Sal
socketable_shael_rune|Nut||Nut|Орех|||||Nut
socketable_dol_rune|Del||Del|Del|||||Del
socketable_hel_rune|Hel||Hel|Хель|||||Hel
socketable_io_rune|Io||Io|Io|||||Io
socketable_lum_rune|Lum||Lum|Лум|||||Lum
socketable_ko_rune|Co||Co|Со|||||Co
socketable_fal_rune|Fel||Fel|Fel|||||Fel
socketable_lem_rune|Lem||Lem|Лем|||||Lem
socketable_pul_rune|Pul||Pul|Пул|||||Pul
socketable_um_rune|Um||Um|Um|||||Um
socketable_mal_rune|Mal||Mal|Mal|||||Mal
socketable_ist_rune|Ist||Ist|Ist|||||Ist
socketable_gul_rune|Gul||Gul|Гуль|||||Gul
socketable_vex_rune|Vex||Vex|Досадовать|||||Vex
socketable_ohm_rune|Qi||Qi|Ци|||||Qi
socketable_lo_rune|Xo||Xo|Старпом|||||Xo
socketable_sur_rune|Sur||Sur|Sur|||||Sur
socketable_ber_rune|Ber||Ber|Бер|||||Ber
socketable_jah_rune|Jah||Jah|Джа|||||Jah
socketable_cham_rune|Drax||Drax|Дракс|||||Drax
socketable_zod_rune|Zed||Zed|Зед|||||Zed
socketable_fawn_rune|Fawn||||||새끼 사슴||
socketable_flo_rune|Flo||||||||
socketable_nju_rune|Nju||||||||
socketable_jol_rune|Jol||||||||
socketable_chipped_amethyst|Chipped Amethyst||Ametista Lascada|Сколотый Аметист|||조각난 자수정||Améthyste taillée
socketable_flawed_amethyst|Flawed Amethyst||Ametista Defeituosa|Ущербный Аметист|||결함 있는 자수정||Améthyste fissurée
socketable_amethyst|Amethyst||Ametista |Аметист|||자수정||Améthyste
socketable_flawless_amethyst|Flawless Amethyst||Ametista Impecável|Безупречный Аметист|||무결점 자수정||Améthyste sans défaut
socketable_perfect_amethyst|Perfect Amethyst||Ametista Perfeita|Идеальный Аметист|||완벽한 자수정||Améthyste pure
socketable_pristine_amethyst|Pristine Amethyst||Ametista Primordial|Первозданный Аметист|||완벽한 자수정||Améthyste parfaite
socketable_chipped_emerald|Chipped Emerald||Esmeralda Lascada|Колотый Изумруд|||깨진 에메랄드||Émeraude taillée
socketable_flawed_emerald|Flawed Emerald||Esmeralda Defeituosa|Ущербный Изумруд|||결함이 있는 에메랄드||Émeraude fissurée
socketable_emerald|Emerald||Esmeralda |Изумруд|||에메랄드||Émeraude 
socketable_flawless_emerald|Flawless Emerald||Esmeralda Impecável|Безупречный Изумруд|||완벽한 에메랄드||Émeraude sans défaut
socketable_perfect_emerald|Perfect Emerald||Esmeralda Perfeita|Идеальный Изумруд|||완벽한 에메랄드||Émeraude pure
socketable_pristine_emerald|Pristine Emerald||Esmeralda Primordial|Первозданный Изумруд|||원시 에메랄드||Émeraude parfaite
socketable_chipped_ruby|Chipped Ruby||Rubi Lascado|Расколотый Рубин|||조각난 루비||Rubis taillé
socketable_flawed_ruby|Flawed Ruby||Rubi Defeituoso|Ущербный Рубин|||결함 있는 루비||Rubis fissuré
socketable_ruby|Ruby||Rubi |Рубин|||루비||Rubis
socketable_flawless_ruby|Flawless Ruby||Rubi Impecável|Безупречный Рубин|||결점 없는 루비||Rubis sans défaut
socketable_perfect_ruby|Perfect Ruby||Rubi Perfeito|Идеальный Рубин|||완벽한 루비||Rubis pur
socketable_pristine_ruby|Pristine Ruby||Rubi Primordial|Первозданный Рубин|||순수한 루비||Rubis parfait
socketable_chipped_sapphire|Chipped Sapphire||Safira Lascada|Сколотый Сапфир|||깨진 사파이어||Saphir taillé
socketable_flawed_sapphire|Flawed Sapphire||Safira Defeituosa|Ущербный Сапфир|||결함 있는 사파이어||Saphir fissuré
socketable_sapphire|Sapphire||Safira |Сапфир|||사파이어||Saphir 
socketable_flawless_sapphire|Flawless Sapphire||Safira Impecável|Безупречный Сапфир|||무결점 사파이어||Saphir sans défaut
socketable_perfect_sapphire|Perfect Sapphire||Safira Perfeita|Идеальный Сапфир|||완벽한 사파이어||Saphir pur
socketable_pristine_sapphire|Pristine Sapphire||Safira Primordial|Первозданный Сапфир|||청정 사파이어||Saphir parfait
socketable_chipped_skull|Chipped Skull||Caveira Lascada|Расколотый Череп|||조각난 해골||Crâne taillé
socketable_flawed_skull|Flawed Skull||Caveira Defeituosa|Дефектный Череп|||결함 있는 해골||Crâne fissuré
socketable_skull|Skull||Caveira |Череп|||해골||Crâne 
socketable_flawless_skull|Flawless Skull||Caveira Impecável|Безупречный Череп|||완벽한 해골||Crâne sans défaut
socketable_perfect_skull|Perfect Skull||Caveira Perfeita|Идеальный Череп|||완벽한 해골||Crâne pur
socketable_pristine_skull|Pristine Skull||Caveira Primordial|Первозданный Череп|||완전한 해골||Crâne parfait
socketable_chipped_topaz|Chipped Topaz||Topázio Lascado|Сколотый Топаз|||깨진 토파즈||Topaze taillée
socketable_flawed_topaz|Flawed Topaz||Topázio Defeituoso|Ущербный Топаз|||결함이 있는 토파즈||Topaze fissurée
socketable_topaz|Topaz||Topázio |Топаз|||토파즈||Topaze 
socketable_flawless_topaz|Flawless Topaz||Topázio Impecável|Безупречный Топаз|||완벽한 토파즈||Topaze sans défaut
socketable_perfect_topaz|Perfect Topaz||Topázio Perfeito|Идеальный Топаз|||완벽한 토파즈||Topaze pure
socketable_pristine_topaz|Pristine Topaz||Topázio Primordial|Первозданный Топаз|||순수한 토파즈||Topaze parfaite
socketable_gem_gurag|Gurag's Soulgem|Gurag's Soulgem|Pedra da Alma de Gurag|Сокровище души Гурага|Gurag's Soulgem|Gurag's Soulgem|구라그의 영혼 보석|Gurag's Soulgem|Pierre d'âme de Gurag
socketable_gem_reaper|Death's Soulgem|Death's Soulgem|Pedra da Alma da Morte|Камень души Смерти|Death's Soulgem|Death's Soulgem|죽음의 영혼석|Death's Soulgem|Pierre d'âme de la Mort
socketable_gem_anubis|Anubis' Soulgem|Anubis' Soulgem|Pedra da Alma de Anubis|Сокровище души Анубиса|Anubis' Soulgem|Anubis' Soulgem|아누비스의 영혼 보석|Anubis' Soulgem|Pierre d'âme d'Anubis
socketable_gem_damien|Damien's Soulgem|Damien's Soulgem|Pedra da Alma de Damien|Сокровище души Дэмиена|Damien's Soulgem|Damien's Soulgem|다미엔의 소울젬|Damien's Soulgem|Pierre d'âme de Damien
socketable_gem_karp|Karp King's Soulgem|Karp King's Soulgem|Pedra da Alma da Carpa|Камень души Карпа Кинга|Karp King's Soulgem|Karp King's Soulgem|카프 킹의 소울젬|Karp King's Soulgem|Pierre d'âme du roi Carpe
socketable_gem_satan|Satan's Soulgem|Satan's Soulgem|Pedra da Alma de Satã|Камень души сатаны|Satan's Soulgem|Satan's Soulgem|사탄의 영혼석|Satan's Soulgem|Pierre d'âme de Satan
socketable_gem_mevius|Mevius' Soulgem|Mevius' Soulgem|Pedra da Alma de Mevius|Сокровище души Мевиуса|Mevius' Soulgem|Mevius' Soulgem|Mevius의 소울젬|Mevius' Soulgem|Pierre d'âme de Mevius
socketable_gem_odin|Odin's Soulgem|Odin's Soulgem|Pedra da Alma de Odin|Сокровище души Одина|Odin's Soulgem|Odin's Soulgem|오딘의 영혼석|Odin's Soulgem|Pierre d'âme d'Odin
socketable_gem_angelic|Angelic Gem||Gema Angelical|Ангельский Драгоценный Камень|||천사의 보석||Gemme angélique
socketable_gem_chaos|Chaos Gem||Gema do Caos|Драгоценный Камень Хаоса|||혼돈의 보석||Gemme chaotique
socketable_gem_elemental|Elemental Gem||Gema Elemental|Элементарный Драгоценный Камень|||원소 보석||Gemme élémentaire
socketable_gem_moonstone|Moonstone Gem||Gema da Pedra da Lua|Драгоценный камень из Лунного Камня|||문스톤 보석||Pierre de lune
socketable_jewel_exan|Exan Jewel||Gema de Exan|Драгоценный Камень Exan|||엑산 보석||Joyau Exan
socketable_jewel_wilrden|Wilrden Jewel||Gema de Wirlden|Драгоценный Камень Уилрдена|||윌르덴 보석||Joyau Wilrden
socketable_jewel_volcon|Volcon Jewel||Gema de Volcon|Драгоценный Камень Вулкана|||볼콘 보석||Joyau Volcon
socketable_jewel_aether|Aether Jewel||Gema de Aether|Эфирный Драгоценный Камень|||에테르 보석||Joyau d'Ether
socketable_jewel_helmon|Helmon Jewel||Gema de Helmon|Драгоценный Камень Хелмона|||헬몬 보석||Joyau Helmon
socketable_jewel_mariane|Mariane Jewel||Gema de Mariane|Марианна Джуэл|||마리안 주얼||Joyau Mariane
socketable_jewel_lyrcon|Lyrcon Jewel||Gema de Lyrcon|Драгоценный камень Лиркона|||리르콘 보석||Joyau Lyrcon
socketable_jewel_fieryzen|Fieryzen Jewel||Gema de Fieryzen|Огненный Драгоценный Камень|||Fieryzen 보석||Joyau Fieryzen
socketable_jewel_lapislazuli|Lapis-Lazuli Jewel||Gema de Lapis-Lazuli|Драгоценный камень из Лазурита|||라피스라줄리 보석||Joyau Lapis-Lazuli
socketable_jewel_omnipearl|Omnipearl Jewel||Gema de Omnipérola|Вездесущий Драгоценный Камень|||옴니펄 보석||Joyau Omnipearl
socketable_jewel_agathetheum|Agathetheum Jewel||Gema de Agathetheum|Драгоценный камень из Агатетея|||아가테테움 보석||Joyau Agathetheum
socketable_jewel_tramal|Tramal Jewel||Gema de Tramal|Драгоценный камень Трамала|||트라마르 보석||Joyau Tramal
socketable_jewel_pearlescento|Pearlescento Jewel||Gema de Pearlescento|Жемчужина цвета Перламутра|||펄레센토 보석||Joyau Pearlescento
socketable_jewel_mythgonlion|Mythgonlion Jewel||Gema de Mythgonlion|Драгоценный камень Мифического Льва|||미스곤라이온 보석||Joyau Mythgonlion
socketable_jewel_clean_cut|Clean Cut Jewel||Joia de Lapidação Limpa||||정교하게 자른 보석||
socketable_jewel_random|Jewel||Joia||||보석||
socketable_orb_of_loot_goblin|Orb of Loot Goblin||||||전리품 고블린의 구슬||
socketable_orb_of_runeforge|Orb of Runeforge||||||룬포지의 구슬||
socketable_orb_of_kobold|Orb of Kobold||||||코볼트의 구슬||
socketable_orb_of_heroism|Orb of Heroism||||||영웅의 구슬||
socketable_orb_of_angel|Orb of Angel||||||천사의 구슬||
socketable_orb_of_swiftness|Orb of Swiftness||||||신속의 구슬||
socketable_orb_of_agility|Orb of Agility||||||민첩의 구슬||
socketable_orb_of_magister|Orb of Magister||||||마법사의 구슬||
