[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr
e_mountain_troll_1|Mountain Troll|Mountain Troll|Troll da Montanha|Горный Тролль|Mountain Troll|Mountain Troll||Mountain Troll|Troll de montagne
e_mountain_troll_2|Cave Troll|Cave Troll|Troll da Caverna|Пещерный Тролль|Cave Troll|Cave Troll|동굴 트롤|Cave Troll|Troll des cavernes
e_mountain_troll_3|Troll Colossus|Troll Colossus|Troll Colossal|Колосс - Тролль|Troll Colossus|Troll Colossus|트롤 콜로서스|Troll Colossus|Troll colossal
|||||||||
|||||||||
e_corrupted_viking_1|Corrupted Viking||Viking Corrompido|Развращенный Викинг|||타락한 바이킹||Viking corrompu
e_corrupted_viking_2|Lost Drengr||Drengr Perdido|Потерянный Дренгр|||잃어버린 드랭그르||Draugr perdu
e_corrupted_viking_3|Fallen Berserker||Berserker Caído|Павший Берсеркер|||타락한 광전사||Berserker déchu
|||||||||
|||||||||
e_naga_warrior_1|Naga Warrior||Guerreiro Naga|Воин - Нага|||||Guerrier serpent
e_naga_warrior_2|Reptilian Champion||Campeão Reptiliano|Чемпион среди Рептилий|||파충류 챔피언||Reptilien champion
e_naga_warrior_3|Slither Commander||Comandante Escorregadio|Скользящий Командир|||슬리더 지휘관||Commandant rampant
|||||||||
|||||||||
e_valhalla_bear_1|Raging Bear||Urso Furioso|Разъяренный Медведь|||분노한 곰||Ours enragé
e_valhalla_bear_2|Mauling Bear||Urso Espancador|Растерзанный Медведь|||||Ours massacreur
e_valhalla_bear_3|Alpha Bear||Urso Alfa|Альфа - Медведь|||알파 베어||Ours Alpha
|||||||||
|||||||||
e_naga_archer_1|Naga Archer||Arqueiro Naga|Нага Лучник|||||Archer serpent
e_naga_archer_2|Reptilian Bowman||Arqueiro Reptiliano|Лучник - Рептилия|||파충류 궁수||Traqueur reptilien
e_naga_archer_3|Slither Marksman||Arqueiro Escorregadio|Скользящий Стрелок|||미끄러운 명사수||Tireur d'élite rampant
|||||||||
|||||||||
[ancient enemies]|||||||||
e_ancient_golem_1|Ancient Golem||Golem Ancião|Древний Голем|||고대 골렘||Golem antique
e_ancient_golem_2|Ancient Golem||Golem Ancião|Древний Голем|||고대 골렘||Golem antique
e_ancient_golem_3|Ancient Golem||Golem Ancião|Древний Голем|||고대 골렘||Golem antique
|||||||||
|||||||||
e_ancient_skeleton_1|Ancient Skeleton||Esqueleto Ancião|Древний Скелет|||고대 해골||Squelette antique
e_ancient_skeleton_2|Ancient Skeleton||Esqueleto Ancião|Древний Скелет|||고대 해골||Squelette antique
e_ancient_skeleton_3|Ancient Skeleton||Esqueleto Ancião|Древний Скелет|||고대 해골||Squelette antique
|||||||||
|||||||||
e_ancient_spider_1|Ancient Spider||Aranha Anciã|Древний Паук|||고대 거미||Araignée antique
e_ancient_spider_2|Ancient Spider||Aranha Anciã|Древний Паук|||고대 거미||Araignée antique
e_ancient_spider_3|Ancient Spider||Aranha Anciã|Древний Паук|||고대 거미||Araignée antique
|||||||||
|||||||||
e_ancient_zombie_1|Ancient Zombie||Zumbi Ancião|Древний Зомби|||고대 좀비||Zombie antique
e_ancient_zombie_2|Ancient Zombie||Zumbi Ancião|Древний Зомби|||고대 좀비||Zombie antique
e_ancient_zombie_3|Ancient Zombie||Zumbi Ancião|Древний Зомби|||고대 좀비||Zombie antique
|||||||||
|||||||||
e_orc_warrior_1|Orc Warrior||Orc Guerreiro|Орк - Воин|||오크 전사||Guerrier orque
e_orc_warrior_2|Grunt Champion||Campeão do Grunhido|Пехотинец - Чемпион|||그런트 챔피언||Grognard champion 
e_orc_warrior_3|Warchief||Chefe Guerreiro|Вождь|||대족장||Chef de guerre
|||||||||
|||||||||
e_orc_hunter_1|Orc Hunter||Orc Caçador|Охотник на Орков|||오크 사냥꾼||Chasseur orc
e_orc_hunter_2|Boulderer||Pedregulho|Боулдерер|||||Lanceur de roche
e_orc_hunter_3|Stone Slinger||Arremessador de Pedras|Метатель Камней|||||Frondeur de pierre
|||||||||
|||||||||
e_alien_melee_1|Alien Grunt||Grunhido Alien|Инопланетное Ворчание|||에일리언 그런트||Extraterrestre grognard
e_alien_melee_2|Astral Commander||Comandante Astral|Астральный Командир|||||Commandant astral
e_alien_melee_3|Glitch Demon||Falha Demoníaca|Демон - Глюк|||글리치 데몬||Erreur démonique
|||||||||
|||||||||
e_alien_ranged_1|Alien Trooper||Soldado Alienígena|Инопланетный Солдат|||에일리언 병사||Soldat extraterrestre
e_alien_ranged_2|Vector Marksman||Atirador de Vetor|Векторный Стрелок|||벡터 저격수||Vecteur tireur d'élite
e_alien_ranged_3|Triggershot||Gatilho|Спусковой крючок|||||Coup de gâchette
|||||||||
|||||||||
e_alien_devourer_1|Unknown Beast||Besta Desconhecida|Неизвестный Зверь|||알 수 없는 야수||Bête inconnue
e_alien_devourer_2|Fatal Experiment||Experimento Fatal|Фатальный Эксперимент|||치명적인 실험||Expérience funeste
e_alien_devourer_3|Spectral Malfunction||Defeito Espectral|Спектральная неисправность|||스펙트럴 결함||Dysfonctionnement spectral
|||||||||
|||||||||
e_skeletal_trooper_1|Skeletal Trooper||Soldado Esqueleto|Солдат - Скелет|||해골 병사||Soldat squelettique
e_skeletal_trooper_2|Bone Commander||Comandante dos Ossos|Костяной Командир|||뼈의 지휘관||Commandant osseux
e_skeletal_trooper_3|Skeletal Warlord||Esqueleto Senhor da Guerra|Скелетообразный Военачальник|||해골 전쟁 군주||Maître de guerre squelettique
|||||||||
|||||||||
e_skeletal_marksman_1|Skeletal Marksman||Atirador Esqueleto|Стрелок - Скелет|||해골 명사수||Tireur d'élite squelettique
e_skeletal_marksman_2|Guerilla Ambusher||Emboscador de Guerrilha|Партизанская засада|||게릴라 매복자||Guérillero embusquée
e_skeletal_marksman_3|Bone Maker||Criador de Ossos|Производитель костей|||뼈 제작자||Créateur d'os
|||||||||
|||||||||
e_grave_ghoul_1|Grave Ghoul||Ghoul da Cova|Могильный Упырь|||묘지의 구울||Goule sépulcrale
e_grave_ghoul_2|Lurking Horror||Horror Espreitador|Затаившийся Ужас|||잠복하는 공포||Horreur tapie
e_grave_ghoul_3|Frenzied Anomaly||Anomalia Frenética |Безумная Аномалия|||||Anomalie frénétique
|||||||||
|||||||||
e_essence_of_agony_1|Essence of Agony||Essência da Agonia|Сущность Агонии|||고통의 정수||Essence de l'agonie
e_essence_of_agony_2|Agonizing Anomaly||Anomalia Agonizante|Мучительная Аномалия|||고통스러운 이상현상||Anomalie agonisante
e_essence_of_agony_3|Burdened Agony||Agonia Sobrecarregada|Отягощенная Агония|||고통의 짐||Agonie accablante
|||||||||
|||||||||
e_disturbed_spirit_1|Disturbed Soul||Alma Perturbada|Потревоженная Душа|||혼란스러운 영혼||Âme perturbée
e_disturbed_spirit_2|Distorted Anima||Ânima Distorcido|Искаженная Анима|||왜곡된 아니마||Esprit déformé
e_disturbed_spirit_3|Fractured Ego||Ego Fraturado|Раздробленное Эго|||분열된 자아||Ego fracturé
|||||||||
|||||||||
e_chilling_marksman_1|Chilling Marksman||Atirador Gelado|Пугающий Стрелок|||냉혹한 저격수||Tireur d'élite glacé
e_chilling_marksman_2|Frosted Sharpshooter||Atirador da Geada|Матовый Снайпер|||서리 저격수||Tireur d'élite givré
e_chilling_marksman_3|White Death||Morte Branca|Белая Смерть|||백색 죽음||Mort blanche
|||||||||
|||||||||
e_ogre_warrior_1|Ogre Warrior||Ogro Guerreiro|Воин - Людоед|||오우거 전사||Guerrier ogre
e_ogre_warrior_2|Ogre Champion||Ogro Campeão|Чемпион - Людоед|||||Champion ogre
e_ogre_warrior_3|Battle Warchief||Chefe Guerreiro de Batalha|Боевой Вождь|||전투 족장||Chef de bataille
|||||||||
|||||||||
e_amazon_spear_1|Amazon Warrior||Guerreira Amazona|Воин - Амазонка|||아마존 전사||Guerrière amazone
e_amazon_spear_2|Tribal Commander||Comandante Tribal|Командир племени|||부족 사령관||Commandant de tribu
e_amazon_spear_3|Amazon Matriarch||Amazona Matriarca|Матриарх Амазонки|||아마존 여족장||Matriarche
|||||||||
|||||||||
e_unholy_monstrosity_1|Unholy Monstrosity||Monstruosidade Profana|Нечестивое Чудовище|||불경한 괴물||Monstruosité impie
e_unholy_monstrosity_2|Malevolent Anomaly||Anomalia Malevolente|Зловещая Аномалия|||악의적 이상 현상||Anomalie malveillante
e_unholy_monstrosity_3|Satanic Mutation||Mutação Satânica|Сатанинская Мутация|||사탄의 변이||Mutation satanique
|||||||||
|||||||||
e_chaos_guard_1|Chaos Guardian||Guardião do Caos|Страж Хаоса|||혼돈의 수호자||Gardien du chaos
e_chaos_guard_2|Chaos Corruptor||Corruptor do Caos|Разрушитель Хаоса|||||Corrupteur du chaos
e_chaos_guard_3|Darkness Brute||Bruto da Escuridão|Тьма Грубая|||어둠의 야수||Brute des ténèbres
|||||||||
|||||||||
e_chaos_mage_1|Chaos Mage||Mago do Caos|Маг Хаоса|||혼돈의 마법사||Mage du chaos
e_chaos_mage_2|Mage of Darkness||Mago da Escuridão|Маг Тьмы|||어둠의 마법사||Mage des ténèbres
e_chaos_mage_3|Corrupting Archmage||Arquimago Corrompido|Развращающий Архимаг|||타락한 대마법사||Archi-mage corrupteur
|||||||||
|||||||||
e_crypt_skeleton_1|Fallen Trooper||Soldado Caído|Упавший Солдат|||쓰러진 병사||Soldat déchu
e_crypt_skeleton_2|Moldy Champion||Campeão Mofado|Заплесневелый Чемпион|||||Champion moisi
e_crypt_skeleton_3|Fallen Legion||Legião Caída|Павший Легион|||몰락한 군단||Légionnaire déchu
|||||||||
|||||||||
e_crypt_archer_1|Fallen Archer||Arqueiro Caído|Павший Лучник|||타락한 궁수||Archer déchu
e_crypt_archer_2|Moldy Legion||Legião Mofada|Заплесневелый Легион|||||Légionnaire moisi
e_crypt_archer_3|Decaying Marksman||Arqueiro Decadente|Разлагающийся Стрелок|||부패한 명사수||Tireur d'élite en décomposition
|||||||||
|||||||||
e_crypt_doll_1|Crypt Doll||Boneca da Cripta|Кукла из Склепа|||지하 묘지 인형||Poupée de la crypte
e_crypt_doll_2|Devil Child||Filho do Diabo|Дьявольское Дитя|||악마의 아이||Enfant du diable
e_crypt_doll_3|Demon's Offspring||Filho do Demônio|Отпрыск демона|||악마의 자식||Progéniture du démon
|||||||||
|||||||||
e_scavenger_1|Cave Scavenger||Carniceiro da Caverna|Пещерный Падальщик|||동굴 청소부||Charognard des cavernes
e_scavenger_2|Mine Lurker||Espreitador da Mina|Мой Подстерегающий|||광산 잠복자||Rôdeur de mine
e_scavenger_3|Swamp Lurker||Espreitador do Pântano|Болотный Прячущийся|||늪지 잠복자||Rôdeur des marais
|||||||||
|||||||||
e_cyclops_ghost_1|Ghostly Brute||Bruto Fantasmagórico|Призрачная Скотина|||||Brute fantôme
e_cyclops_ghost_2|Haunting Giant||Gigante Assombrado|Преследующий Гигант|||유령 거인||Géant hanté
e_cyclops_ghost_3|Spectral Colossus||Colosso Espectral|Призрачный Колосс|||스펙트럴 콜로서스||Colosse spectral
|||||||||
|||||||||
e_zombie_pyramid_1|Rotten Corpse||Corpo Podre|Сгнивший Труп|||썩은 시체||Cadavre pourri
e_zombie_pyramid_2|Tomb Horror||Horror da Tumba|Ужас Гробницы|||무덤의 공포||Horreur de la tombe
e_zombie_pyramid_3|Rotting Nightmare||Pesadelo Apodrecido|Гниющий Кошмар|||썩어가는 악몽||Putréfacteur de cauchemar
|||||||||
|||||||||
e_royal_skeleton_1|Skeleton Knight||Cavaleiro Esqueleto|Рыцарь - Скелет|||해골 기사||Chevalier squelette
e_royal_skeleton_2|Royal Guard||Guarda Real|Королевская гвардия|||왕실 근위대||Garde royale
e_royal_skeleton_3|Undead Commander||Comandante Morto-vivo|Командир Нежити|||언데드 사령관||Commandant mort-vivant
|||||||||
|||||||||
e_legion_skeleton_1|Skeletal Legion||Legião Esquelética|Легион Скелетов|||해골 군단||Légionnaire squelettique
e_legion_skeleton_2|Rattling Bonelord||Rei dos Ossos Barulhento|Гремящий Повелитель Костей|||덜그럭거리는 뼈의 군주||Chef des os cliquetant
e_legion_skeleton_3|Hulking Skullster||Crânio Pesado|Неуклюжий Скулстер|||거대한 해골||Sculpteur de crânes
|||||||||
e_royal_archer_1|Rattling Archer||Arqueiro Barulhento|Грохочущий Лучник|||덜컹거리는 궁수||Archer cliquetant
e_royal_archer_2|Royal Arrowskull||Arqueiro Real|Королевский Череп Стрелы|||왕실 화살머리||Lance-crânes royal
e_royal_archer_3|King's Skullguard||Guarda Esquelética do Rei|Королевский страж черепа|||왕의 해골 경비대||Garde-crânes royal
|||||||||
e_legion_archer_1|Legion Marksman||Arqueiro da Legião|Стрелок Легиона|||군단 저격수||Tireur d'élite de la Légion
e_legion_archer_2|Hulking Archer||Arqueiro Pesado|Неуклюжий Лучник|||거대한 궁수||Archer de Hulking
e_legion_archer_3|Bony Deadshot||Ossudo Tiro-certo|Костлявый Дэдшот|||해골 명사수||Tireur d'élite osseux
|||||||||
e_fearsEssence_1|Fear’s Essence||Essência do Medo|Сущность страха|||공포의 정수||Essence de la peur
e_fearsEssence_2|Spectral Harbringer||Arauto Espectral|Призрачный Преследователь|||스펙트럴 하브링어||Annonciateur spectral
e_fearsEssence_3|Reaper of Seven Sins||Ceifador dos Sete Pecados|Жнец семи грехов|||일곱 죄악의 수확자||Faucheur des sept péchés
|||||||||
e_lurkingShadow_1|Lurking Shadow||Sombra Espreitante|Притаившаяся Тень|||잠복하는 그림자||Ombre tapie
e_lurkingShadow_2|Eclipse Assassin||Assassino do Eclipse|Убийца из Затмения|||일식 암살자||Assassin de l'éclipse
e_lurkingShadow_3|Shade of Eternal Night||Sombra da Noite Eterna|Тень Вечной ночи|||영원한 밤의 그림자||Ombre de la nuit éternelle
|||||||||
e_maskOfTerror_1|Mask of Terror||Máscara do Terror|Маска ужаса|||공포의 가면||Masque de terreur
e_maskOfTerror_2|Visage of the Damned||Rosto dos Condenados|Облик Проклятого|||||Visage des damnés
e_maskOfTerror_3|Cursed Veil of Torment||Véu Amaldiçoado da Tormenta|Проклятая Завеса Мучений|||저주의 고통의 장막||Voile maudit du supplice
|||||||||
e_shadowLegion_1|Shadow Legion||Legião das Sombras|Теневой Легион|||그림자 군단||Légionnaire de l'ombre
e_shadowLegion_2|Dreadlord of Shadows||Senhor do Medo Sombrio|Повелитель Ужаса Теней|||어둠의 공포 군주||Seigneur des ombres
e_shadowLegion_3|Souldbound Shade||Sombra Vinculada à Alma|Бездушная Тень|||영혼에 속박된 그림자||Ombre liée à l'âme
|||||||||
e_lurkingHorror_1|Lurking Horror||Horror Espreitador|Затаившийся Ужас|||잠복하는 공포||Horreur tapie
e_lurkingHorror_2|Cauflax Horror||Horror de Cauflax|Кошмар из Кауфлакса|||카우플락스의 공포||Horreur de Cauflax
e_lurkingHorror_3|Rotting Tombwalker||Caminhante Podre da Tumba|Гниющий Могильщик|||썩어가는 무덤걸이||Marcheur de tombeau pourri
|||||||||
e_rottingMummy_1|Rotting Mummy||Múmia Apodrecida|Гниющая Мумия|||||Momie pourrie
e_rottingMummy_2|Decaying Offspring||Filho Apodrecido|Разлагающееся Потомство|||부패한 자손||Rejeton en décomposition
e_rottingMummy_3|Defiling Carcass||Carcaça Contaminada|Осквернение Туши|||||Carcasse souillée
|||||||||
e_tombWarrior_1|Tomb Warrior||Guerreiro da Tumba|Могильный Воин|||묘지 전사||Guerrier de la tombe
e_tombWarrior_2|Cauflax Guard||Guarda de Cauflax|Защита из Кауфлакса|||카우플락스 경비||Garde de Cauflax
e_tombWarrior_3|Cursed Commander||Comandante Amaldiçoado|Проклятый Командир|||저주받은 지휘관||Commandant maudit
|||||||||
e_scorchingArcher_1|Scorching Archer||Arqueiro Abrasador|Обжигающий Лучник|||불타는 궁수||Archer brûlant
e_scorchingArcher_2|Fleshmelter||Derrete-carne|Плавильщик плоти|||살점 녹이는 자||Fondeur de chair
e_scorchingArcher_3|Spellburned Marksman||Arqueiro Enfeitiçado|Обожженный Заклинаниями Стрелок|||주문에 불탄 명사수||Tireur d'élite brûlé par la magie
|||||||||
e_darkKnight_1|Dark Knight||Cavaleiro das Trevas|Темный Рыцарь|||다크 나이트||Chevalier noir
e_darkKnight_2|Unholy Templar||Templário Profano|Нечестивый Тамплиер|||불경한 성전사||Templier impie
e_darkKnight_3|Reanimated Knight||Cavaleiro Reanimado|Оживший Рыцарь|||재생된 기사||Chevalier réanimé
|||||||||
e_fearsEmbodiment_1|Fear’s Embodiment||Personificação do Medo|Воплощение страха|||두려움의 구현||Incarnation de la peur
e_fearsEmbodiment_2|Faces of Destruction||Faces da Destruição|Грани разрушения|||파괴의 얼굴||Visages de la destruction
e_fearsEmbodiment_3|Doomsday Prophecy||Profecia do Apocalipse|Пророчество О Конце Света|||종말의 예언||Prophétie du jugement dernier
|||||||||
e_paganPreacher_1|Pagan Preacher||Pregador Pagão|Языческий проповедник|||이교도 설교자||Prédicateur païen
e_paganPreacher_2|Exalted Priest||Padre Exaltado|Возвышенный Священник|||고귀한 사제||Prêtre exalté
e_paganPreacher_3|Fallen Saint||Santo Caído|Падший Святой|||타락한 성인||Saint déchu
|||||||||
e_sacrilegiousLegion_1|Sacrilegious Legion||Legião do Sacrilégio|Святотатственный Легион|||신성모독 군단||Légionnaire profane
e_sacrilegiousLegion_2|Keeper of Blasphemy||Guarda da Blasfêmia|Хранитель Богохульства|||신성모독의 수호자||Gardien du blasphème
e_sacrilegiousLegion_3|Brimstone Commander||Comandante Brimstone|"Командир "" Бримстоуна """|||브림스톤 사령관||Commandant Brimmstone
|||||||||
e_spiderCritter_1|Spider Critter||Criatura Aracnídea|Паучья Тварь|||거미 생물||Araignée
e_spiderCritter_2|Spider Critter||Criatura Aracnídea|Паучья Тварь|||거미 생물||Araignée
e_spiderCritter_3|Spider Critter||Criatura Aracnídea|Паучья Тварь|||거미 생물||Araignée
|||||||||
e_helheimSpider_1|Helheim Arachnid||Aracnídeo de Helheim|Паукообразный из Хельхейма|||헬하임 거미||Arachnide de Helheim
e_helheimSpider_2|Helheim Arachnid||Aracnídeo de Helheim|Паукообразный из Хельхейма|||헬하임 거미류||Arachnide de Helheim
e_helheimSpider_3|Helheim Arachnid||Aracnídeo de Helheim|Паукообразный из Хельхейма|||헬하임 거미||Arachnide de Helheim
|||||||||
e_corruptedArcher_1|Corrupted Archer||Arqueiro Corrompido|Испорченный Лучник|||타락한 궁수||Archer corrompu
e_corruptedArcher_2|Freljord Marksman||Atirador de Freljord|Стрелок из Фрельйорда|||프렐요드 명사수||Franc-tireur de Freljord
e_corruptedArcher_3|Frostbitten Sharpshooter||Atirador Queimado pelo Frio|Обмороженный Снайпер|||동상에 걸린 저격수||Tireur d'élite mordu par le gel
|||||||||
e_tribalDoll_1|Tribal Doll||Boneca Tribal|Племенная Кукла|||부족 인형||Poupée tribale
e_tribalDoll_2|Voodoo Lurker||Espreitador Voodoo|Скрывающийся Вудуист|||부두 잠복자||Rôdeur vaudou
e_tribalDoll_3|Tikitaki||Tikitaki|Тикитаки|||||Tikitaki
|||||||||
e_harpy_1|Harpy||Harpia|Гарпия|||하피||Harpie
e_harpy_2|Wind Gusher||Propagadora de Ventos|Поток ветра|||바람 분출기||Hurl'vent
e_harpy_3|Furyclaw||Garra Furiosa|Фурийная Лапка|||분노의 발톱||Furie griffue
|||||||||
e_mechPirate_1|Mech Pirate||Pirata Mech|Механический Пират|||메카 해적||Mécha pirate
e_mechPirate_2|Dreadnaut||Temerário|Дредноут|||드레드노트||Effroi-telot
e_mechPirate_3|Ironcut Trooper||Tropa Corta-ferro|Солдат с Железными Зубами|||철절단 병사||Équipage coupe-fer
|||||||||
e_mechGunner_1|Flintlock Gunner||Artilheiro de Pederneira|Стрелок с кремневым ружьем|||플린트락 건너||Tireur à la carabine à silex
e_mechGunner_2|Blazecannoner||Canhoneiro Ardente|Канонир Пламени|||화염포병||Canonnier à flamme
e_mechGunner_3|Gunsworn Sharpshooter||Atirador de Elite Armado|Закаленный в Стрельбе Снайпер|||총기 전문가 저격수||Tireur d'élite armé
|||||||||
e_valhallaBear_1|Grizzlepaw Bruin||Urso Pardo Machão|Синяк из Сизолапки|||그리즐포 브루인||Bruin patte de grizzly
e_valhallaBear_2|Freljord Usant||Urso de Freljord|Freljord Usant|||프렐요드 우산트||Usant des grands froids
e_valhallaBear_3|Raging Ursus||Urso Enfurecido|Разъяренный Урсус|||||Ursus enragé
|||||||||
e_crab_1|Clawlasher||Garra-chicote||||클로래셔||
e_crab_2|Coralcrusher||Esmaga-coral||||산호파괴자||
e_crab_3|Razorshell||Concha-lâmina||||칼날조개||
|||||||||
e_valhallaWraith_1|Wraith||Fantasma ||||망령||
e_valhallaWraith_2|Helheim Corruptor||Corruptor de Helheim||||헬하임 타락자||
e_valhallaWraith_3|Soulfeaster||Come-almas||||영혼포식자||
|||||||||
e_bogMushroom_1|Shroomer||Cogumelinho||||슈루머||
e_bogMushroom_2|Big Cap||Touca Grande||||||
e_bogMushroom_3|Colossal Shroom||Cogumelo Colossal||||거대한 버섯||
e_cursedElf_1|Cursed Elf||Elfo Amaldiçoado||||저주받은 엘프||
e_cursedElf_2|Possessed Elf||Elfo Possuído||||사로잡힌 엘프||
e_cursedElf_3|Damned Elf||Elfo Maldito||||저주받은 엘프||
e_bogNagaWarrior_1|Forest Naga||Naga da Floresta||||숲의 나가||
e_bogNagaWarrior_2|Bogplain Reptile||Réptil do Pantanal||||늪지대 파충류||
e_bogNagaWarrior_3|Molding Slither||Cobra Descamada||||변형된 슬리더||
e_bogParasect_1|Shrub Parasite||Parasita de Arbustos||||덤불 기생충||
e_bogParasect_2|Toxicating Anomaly||Anomalia Tóxica||||독성 이상 현상||
e_bogParasect_3|Leeching Monstrosity||Monstruosidade Sanguessuga||||흡혈 괴물||
e_bellCrawler_1|Bell Crawler||Rastejador de Sinos||||벨 크롤러||
e_bellCrawler_2|Timefueled Crab||Caranguejo Temporal||||시간의 힘을 받은 게||
e_bellCrawler_3|Timelost Lobster||Lagosta do Tempo Perdido||||잃어버린 시간의 바닷가재||
e_fallenLegion_1|Fallen Legion||Legião Caída||||몰락 군단||
e_fallenLegion_2|Commander of Time||Comandante do Tempo||||시간의 지휘관||
e_fallenLegion_3|Void General||General do Vazio||||공허의 장군||
e_fallenMage_1|Tickering Magi||Mago Tique-taque||||||
e_fallenMage_2|Timeless Mystic||Místico Atemporal||||시간을 초월한 신비주의자||
e_fallenMage_3|Horizon Seeker||Buscador do Horizonte||||지평선 탐색자||
|||||||||
e_abyssalHatredCultist_1|Abyssal Hatred Cultist||Cultista do Ódio Abissal||||심연의 증오 광신도||
e_abyssalHatredCultist_2|Malevolent Zealot||Fanático Malevolente||||||
e_abyssalHatredCultist_3|High Cultist of the Abyss||Grande Cultista do Abismo||||심연의 고위 제사장||
|||||||||
e_hatredcladRattlebone_1|Hatredclad Rattlebone Warrior||Guerreiro Hatredclad Rattlebone||||증오로 뒤덮인 래틀본 전사||
e_hatredcladRattlebone_2|Dreadforged Warrior of Malice||Guerreiro da Malícia Terrorforjado||||악의의 공포대장||
e_hatredcladRattlebone_3|Vengeance Legionnaire||Legionário da Vingança||||복수의 군단병||
|||||||||
e_shadowborneWraith_1|Shadowborne Wraith of Hatred||Espectral Sombrio do Ódio||||증오의 그림자 망령||
e_shadowborneWraith_2|Umbral Specter||Espectro Umbral||||어둠의 유령||
e_shadowborneWraith_3|Harbringer of Wrath||Mensageiro da Ira||||||
|||||||||
e_vengefulSentinel_1|Vengeful Sentinel||Sentinela Vingativo||||복수심에 불타는 파수병||
e_vengefulSentinel_2|Horned Guardian||Guardião Chifrudo||||뿔 달린 수호자||
e_vengefulSentinel_3|Hateforged Colossus||Colosso Forjado do Ódio||||증오로 벼려진 거대 골렘||
|||||||||
e_wrathshotBoneMarksman_1|Wrathshot Bone Marksman||Atirador Esqueleto||||분노의 뼈 저격수||
e_wrathshotBoneMarksman_2|Cursed Spine Archer||Arqueiro da Espinha Maldita||||||
e_wrathshotBoneMarksman_3|Necrostorm Arbalest||Arbalete da Tempestade Necrótica||||네크로스톰 석궁||
|||||||||
e_demonZealot_1|Demon Zealot||Fanático Demoníaco|Демон - Фанатик|||악마 광신자||Zélote démoniaque
spell_demonZealot_0|Demonic Charge||Carga Demoníaca|Демоническая Атака|||악마의 돌진||Charge démoniaque
spell_demonZealot_1|Wandering Soul||Alma Errante|Блуждающая Душа|||방황하는 영혼||Âme errante
spell_demonZealot_2|Soul Harvest||Colheita das Almas|Сбор урожая Души|||영혼 수확||Moisson d'âmes
|||||||||
e_akora_1|Akora||Akora|Акора|||||Akora
spell_akora_0|Demonic Wrappings||Invólucros Demoníacos|Демонические Оболочки|||악마의 포장지||Enveloppements démoniaques
spell_akora_1|Grasp of Horror||Garra do Horror|Объятие ужаса|||공포의 손아귀||Emprise de l'horreur
spell_akora_2|Siphon Essence||Sifão da Essência|Сифонная Эссенция|||정수 흡수||Siphon d'essence
|||||||||
e_akoraWrapping_3|Demonic Wrapping||Invólucro Demoníaco|Демоническая Оболочка|||악마의 포장||Enveloppe démoniaque
e_agonyOfAkora_3|Agony of Akora||Agonia de Akora|Агония Акоры|||아코라의 고통||Agonie d'Akora
|||||||||
e_jadeStoneGazer_1|Jadestone Gazer||Observador de Pedra de Jade|Пристальный Взгляд на Нефритовый камень|||비취석 응시자||Chercheur de jade
spell_jadeStoneGazer_0|Jadestone Roots||Raízes de Pedra de Jade|Корни из Нефритового камня|||비취석 뿌리||Racines de pierre de jade
spell_jadeStoneGazer_1|Stone Guards||Guardiões de Pedra|Каменные Стражи|||석상 수호자||Garde de pierre
spell_jadeStoneGazer_2|Deadly Gaze||Olhar Mortal|Смертоносный Взгляд|||치명적인 시선||Regard mortel
|||||||||
e_blackStoneDefender_1|Blackstone Defender||Defensor de Pedra Negra|Защитник Блэкстоуна|||블랙스톤 수호자||Défenseur de la pierre noire
|||||||||
e_redBeard_1|Red Beard||Barba Vermelha|Рыжая Борода|||빨간 수염||Barbe rouge
spell_redBeard_0|Anchor Strike||Acerto de Âncora|Якорный удар|||앵커 스트라이크||Frappe d'ancre
spell_redBeard_1|Bomb Barrage||Barragem de Bombas|Шквал бомб|||폭탄 소나기||Barrage de bombes
spell_redBeard_2|Shiver Me Timbers||Me Arrepia as Pernas|Сотрясите Мои Бревна|||나를 놀라게 해||Frissons
|||||||||
e_grimbone_1|Grimbone|Grimbone|Grimbone|Гримбон|Grimbone|Grimbone|Grimbone|Grimbone|Grimbone
|||||||||
e_puppetQueen_1|Puppet Queen||Rainha das Marionetes||||인형 여왕||
spell_puppetQueen_0|Rain of Judgement||Chuva do Julgamento||||심판의 비||
spell_puppetQueen_1|Time of Reckoning||Hora do Ajuste de Contas||||심판의 시간||
spell_puppetQueen_2|Showtime||Hora do Show||||쇼타임||
|||||||||
e_sirUngar_3|Sir Ungar||Sr Ungar||||운가 경||
e_archBishopSimon_3|Arch Bishop Simon||Arcebispo Simon||||대주교 사이먼||
e_manCrusher_3|MANCRUSHER||ESMAGAHOMEM||||||
e_gardenColossus_3|Garden Colossus||Colosso do Jardim||||정원의 거상||
e_helgromBrute_3|Helgrom Brute||Bruto de Helgrom||||헬그롬의 난폭자||
e_helgromChieftain_3|Helgrom Chieftain||Cacique de Helgrom||||헬그롬 족장||
e_soulPillar_3|Soul Pillar||||||소울 필러||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
e_satan_left_hand_2|Satan’s Left Hand||Mão Esquerda de Satã|Левая Рука Сатаны|||사탄의 왼손||Main gauche de Satan
e_satan_right_hand_2|Satan’s Right Hand||Mão Direita de Satã|Правая рука сатаны|||사탄의 오른손||Main gauche de Satan
|||||||||
