[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
chaos_tower_highscores|Chaos Tower Highscores|Chaos Tower Ennätykset|Placar de Líderes da Torre do Caos|Рекорды Chaos Tower|混沌之塔高分|カオス タワーのハイスコア|카오스 타워 최고 기록|Chaos Tower Highscores|Meilleurs scores de la Tour du Chaos
season_first_to_100|Season first to level 100|Kausi ensimmäinen tasolle 100|Primeiro Nível 100 da Temporada|Сезон первый до 100-го уровня|赛季第一至 100 级|シーズン 1 でレベル 100 に到達|시즌 최초로 100레벨 달성|Saisonerster auf Level 100|Premier de la saison au niveau 100
gold_cap_trade|You would go over the account's gold limit!|Ylittäisit tilin kultarajan!|Você ultrapassaria o limite de ouro da conta!|Вы превысите лимит золота аккаунта!|您将超出帐户的金币上限！|アカウントのゴールド制限を超えてしまいます!|계정의 골드 한도를 초과합니다!|Sie würden das Goldlimit des Kontos überschreiten!|Vous dépasseriez la limite d'or du compte !
gold_cap_reached|Gold cap reached!|Kultahattu saavutettu!|O limite de ouro foi atingido!|Достигнут лимит золота!|已达到金币上限！|ゴールド上限に達しました!|골드 상한에 도달했습니다!|Goldgrenze erreicht!|Plafond d'or atteint !
mail_claim_gold_limit|Mail could not be claimed. Gold limit reached!|Postia ei voitu lunastaa. Kultaraja saavutettu!|Não foi possível reivindicar o mail. O limite de ouro foi atingido!|Почта не может быть получена. Достигнут лимит золота!|无法领取邮件。已达到金币上限！|メールを請求できませんでした。ゴールド制限に達しました!|메일을 청구할 수 없습니다. 골드 한도에 도달했습니다!|E-Mail konnte nicht beansprucht werden. Goldlimit erreicht!|Le courrier n'a pas pu être réclamé. Limite d'or atteinte !
ferry_coop_present|All players must be present to board the ferry!|Kaikkien pelaajien on oltava paikalla päästäkseen lautalle! |Todos os jogadores devem estar presentes para embarcar na balsa! |Все игроки должны присутствовать на борту парома! |所有玩家必须在场才能登上渡轮！ |フェリーに乗るには、すべてのプレイヤーが参加している必要があります! |모든 플레이어가 페리에 탑승해야 합니다! |Alle Spieler müssen anwesend sein, um an Bord der Fähre zu gehen! |Tous les joueurs doivent être présents pour embarquer sur le ferry ! 
|||||||||
[Companions]|||||||||
companion_name_1|Corgi|Corgi|Corgi|Корги|柯基犬|コーギー|코기|Corgi|Corgi
companion_name_2|Turtle|Kilpikonna|Tartagura|Черепаха|龟|カメ|터틀|Schildkröte|Tortue
companion_name_3|Slime|Lima|Slime|Слизь|粘液|ヘドロ|덮다|Schleim|Slime
companion_name_4|Stickman Steve|Teemu Tikku-Ukko|Stickman Steve|Стикмен Стив|曲棍球手史蒂夫|スティックマンスティーブ|막대인간 스티브|Strichmännchen Steve|Stickman Steve
companion_name_5|Dodo|Dodo|Dodo|Додо|渡渡鸟|ドードー|도도|Dodo|Dodo
companion_name_6|Sir Penguin|Herra Pingviini|Sir Penguin|Сэр пингвин|企鹅爵士|サーペンギン|선생님 펭귄|Sir Pinguin|Sir Pingouin
companion_name_7|Random Goose|Satunnainen Hanhi|Ganso Aleatório|Гусь Дмитрий|鹅随机|ランダムなガチョウ|무작위 거위|Ziellose Gans|Oie aléatoire
companion_name_8|Baby Cactus|Vauva Kaktus|Cacto Bebê|Малышь кактус|婴儿仙人掌|赤ちゃんサボテン|아기 선인장|Babykaktus|Bébé cactus
companion_name_9|Spooky Scary Skeleton|Kammottava Luuranko|Esqueleto Assustador Assombrad|Жуткий и страшный скелет|幽灵般可怕的骨架|不気味な怖いスケルトン|으스스한 무서운 해골|Gruseliges Skelett|Squelette sinistre
companion_name_10|Black Cat|Musta Kissa|Gato Preto|Черная кошка|黑猫|黒猫|검은 고양이|Schwarze Katze|Chat noir
companion_name_11|Floating Pumpkin Head|Leijuva Kurpitsapää|Cabeça de Abóbora Flutuante|Плавающая тыквенная голова|浮动南瓜头|フローティングパンプキンヘッド|떠 다니는 호박 머리|Schwebender Kürbiskopf|Tête de citrouille flottante
companion_name_12|Snowman|Lumiukko|Boneco de Neve|Снеговик|雪人|雪だるま|눈사람|Schneemann|Bonhomme de neige
companion_name_13|Elf|Tonttu|Elfo|Эльф|小精灵|妖精|꼬마 요정|Elf|Elfe
companion_name_14|Rudolph|Petteri|Rudolph|Рудольф|鲁道夫|ルドルフ|루돌프|Rudolf|Rudolph
companion_name_15|Helicopter Drone|Helikopteri Drone|Drone Helicóptero|Дрон|直升机无人机|ヘリコプタードローン|헬리콥터 드론|Hubschrauberdrohne|Drone hélicoptère
companion_name_16|Clockwork Dragon|Kellopelilohikäärme|Dragão Mecânico|Механический дракон|发条龙|クロックワーク・ドラゴン|시계태엽룡|Uhrwerk-Drache|Dragon mécanique
companion_name_17|Steam Powered Wolf|Höyryvoimasusi|Lobo Movido a Vapor|Стимпанк волк|蒸汽动力狼|スチームパワーウルフ|증기력 늑대|Dampfkraftwolf|Loup à vapeur
companion_name_18|Wooden Spiderbot|Puinen hämähäkkirobotti|Robô-aranha de Madeira|Деревянный робот-паук|木制蜘蛛机器人|木製のクモ型ロボット|나무 거미 로봇|Ein hölzerner Spinnenroboter|Un robot araignée en bois
companion_name_19|Mini Chaos Tower|Minikaaostorni|Mini Torre do Caos|Мини-Башня Хаоса|迷你混沌塔|ミニカオスタワー|미니 카오스 타워|Mini-Chaosturm|Mini-tour du chaos
companion_name_20|Heavenly Dove|Taivaallinen kyyhkynen|Pombo Celestial|Небесный голубь|天鸽|天の鳩|하늘의 비둘기|Himmlische Taube|Colombe céleste
companion_name_21|Eternal Protector|Ikuinen suojelija|Protetor Eterno|Вечный защитник|永恒的保护者|永遠の守護者|영원한 수호자|Ewiger Beschützer|Protecteur éternel
companion_name_22|Pride of the Order of Angels|Enkeliritarien ylpeys|Orgulho da Ordem dos Anjos|Гордость Ордена Ангелов|天使骑士团的骄傲|天使騎士団の誇り|천사기사단의 긍지|Stolz der Engelsritter|Fierté des Chevaliers Anges
companion_name_23|Angel & Devil|Enkeli & Piru|Anjo & Demônio|Ангел Дьявол|天使与魔鬼|天使と悪魔|천사와 악마|Engel & Teufel|Ange et Diable
companion_name_24|Lost Soul|Eksynyt sielu|Alma Perdida|Потерянная душа|一个迷失的灵魂|失われた魂|잃어버린 영혼|Eine verlorene Seele|Une âme perdue
companion_name_25|Armored Polar|Panssarijääkarhu|Polar Blindado|Бронированный Полярный|装甲北极熊|装甲シロクマ|무장한 북극곰|Gepanzerter Eisbär|Ours polaire blindé
companion_name_26|Burning Server|Palava Palvelin|Servidor Queimando|Горящий сервер|烧录服务器|バーニングサーバー|버닝 서버|Brennserver|Serveur de gravure
companion_name_27|Raven|Korppi|Corvo|Ворон|乌鸦|レイヴン|갈가마귀|Rabe|Corbeau
companion_name_28|Grizzly Bear|Karhu|Urso Pardo|Медведь гризли|熊|クマ|곰|Tragen|Ours
companion_name_29|Fenrir|Fenrir|Fenrir|Фенрир|芬里尔 |フェンリル |펜리르 |Fenrir |Fenrir 
companion_name_30|Shadow Wolf|Varjosusi|Lobo das Sombras|Тень волка|暗影狼 |シャドウウルフ |그림자 늑대 |Schattenwolf |Loup d'ombre
companion_name_31|Lil' Prophet|Pikkuprofeetta|Lil’ Prophet|Маленький пророк|小先知|リトル・プロフェット|작은 예언자 |Kleiner Prophet|Petit prophète
companion_name_32|Molten Drake|Laavalohikäärme|Dragão Fundido|Раскаленный дракон|熔岩幼龙|モルテン・ドレイク|용암 드레이크|Geschmolzener Drache|Drake en fusion
companion_name_33|Corrupted Crow|Korruptoitunut varis|Corvo Corrompido|Испорченная ворона|堕落乌鸦|堕落したカラス|부패한 까마귀|Verdorbene Krähe|Corbeau corrompu
companion_name_34|Summoned Beast|Manattu peto|Besta Invocada|Призванный зверь|召唤兽|召喚獣|소환된 짐승|Beschworenes Biest|Bête invoquée
companion_name_35|Alice|Aliisa|Alice|Алиса|爱丽丝|アリス|앨리스|Alice|Alice
companion_name_36|Black Goat|Musta pässi|Bode Preto|Черная коза|黑山羊|ブラック・ゴート|검은 염소|Schwarze Ziege|Chèvre noire
companion_name_37|Ritual Mask|Rituaalimaski|Máscara de Ritual|Ритуальная маска|仪式面具|儀式の仮面|의식 가면|Ritualmaske|Masque rituel
companion_name_38|Chroma Wolf|Chroma Wolf|Lobo Cromado|Хромированный волк|彩色狼|クロマ・ウルフ|크로마 울프|Chroma-Wolf|Loup chroma
companion_name_39|Pug|Mopsi|Pug|Мопс|哈巴狗|パグ|퍼그|Mops|Carlin
companion_name_40|Bober|Bober|Bober|Бобер|鲍伯|ボーバー|보버|Bober|Bober
companion_name_41|Monkey|Apina|Macaco|Обезьяна|猴子|モンキー|원숭이|Affe|Singe
companion_name_42|Astral Deer|Astral Deer|Cervo Astral|Астральный олень|星界鹿|アストラル・ディア|아스트랄 사슴|Astralhirsch|Cerf astral
companion_name_43|Celestial Raven|Taivaallinen korppi|Corvo Celestial|Небесный ворон|天界乌鸦|セレスティアル・レイヴン|천상의 까마귀|Himmlischer Rabe|Corbeau céleste
companion_name_44|Celestial Lion|Taivaallinen leijona|Leão Celestial|Небесный лев|天界狮子|セレスティアル・ライオン|천상의 사자|Himmlischer Löwe|Lion céleste
companion_name_45|Celestial Dragon|Taivaallinen lohikäärme|Dragão Celestial|Небесный дракон|天界龙|セレスティアル・ドラゴン|천상의 용|Himmlischer Drache|Dragon céleste
companion_name_46|Sphinx|Sfinksi |Esfinge |Сфинкс |狮身人面像 |スフィンクス |스핑크스 |Sphinx |Sphinx 
companion_name_48|Brainrot Cat||||||브레인로트 캣||
companion_name_49|Demonhorn Enforcer||||||악마뿔 집행자||
companion_name_50|Chaos Mutton||||||혼돈 양고기||
companion_name_51|Demon Sheep||||||악마 양||
|||||||||
|||||||||
angelic_realm_tutorial_1_header|Angelic Realm |Enkelimaailma |Reino Angelical|Ангельское царство |天使领域|天使界|천사의 영역|Engelreich|Royaume angélique
angelic_realm_tutorial_2_header|Augments |Lisäykset |Aprimoramentos|Усиления |增强|強化|강화|Erweiterungen|Augmentations
angelic_realm_tutorial_3_header|Armor Augment|Panssarin lisäys|Aprimoramentos de Armadura|Усиление брони|护甲增强|アーマー強化|갑옷 강화|Rüstungserweiterung|Augmentation d'armure
angelic_realm_tutorial_4_header|Augment Upgrade |Lisää päivitystä |Melhoria de Aprimoramentos|Улучшение усиления |增强升级|強化アップグレード|강화 업그레이드|Erweiterungsupgrade|Mise à niveau d'augmentation
angelic_realm_tutorial_5_header|Angelic Keys |Enkeliavaimet |Chaves Angelicais|Ангельские ключи |天使钥匙 |天使の鍵 |천사의 열쇠 |Engelsschlüssel |Clés angéliques 
angelic_realm_tutorial_1_text|[c_coin]Angelic Realm[c_reset] is a realm that allows you to Augment your Body Armor with powerful augments.[nl] While wearing an Augmented Body Armor, the augment is active.[nl] [c_coin]Be ready![c_reset] You need an [c_coin]Angelic Key[c_reset] to enter the realm and only [c_red]one action[c_reset], Augmentation or Augment Upgrade can be performed per visit. |[c_coin]Angelic Realm[c_reset] on valtakunta, jonka avulla voit täydentää panssariasi tehokkailla lisäyksillä.[nl] Kun käytät lisättyä vartalopanssaria, lisäys on aktiivinen.[nl] [c_coin]Ole valmis![c_reset] Tarvitset [c_coin]Angelic Key[c_reset]-toiminnon [c_reset], [c_reset] [c_reset]-toiminnon syöttämiseen. Lisäys tai Augment Upgrade voidaan suorittaa käyntiä kohden. |O [c_coin]Reino Angelical[c_reset] é um reino que permite Aprimorar sua armadura corporal com poderosos aprimoramentos.[nl] Os Aprimoramentos têm como alvo algumas de suas habilidades exclusivas e, ao usar uma Armadura Corporal Aprimorada para uma habilidade, ela ficará mais forte. [c_coin] Esteja preparado! [c_reset] Você precisa de uma [c_coin]Chave Angelical[c_reset] para entrar no reino e somente [c_red]uma ação[c_reset], Aprimoramento ou Melhoria de Aprimoramento pode ser realizada por visita. |[c_coin]Ангельский мир[c_reset] — это мир, который позволяет вам улучшать свой бронежилет с помощью мощных аугментаций.[nl] Пока вы носите улучшенный бронежилет, аугментация активна.[nl] [c_coin]Будьте готовы![c_reset] Для входа в мир вам понадобится [c_coin]Ангельский ключ[c_reset], и за одно посещение можно выполнить только [c_red]одно действие[c_reset] — улучшение или улучшение аугментации. |[c_coin]天使之境[c_reset]是一个可以让你用强大的增强物来增强你的防弹衣的领域。[nl]当穿着增强型防弹衣时，增强功能处于活动状态。[nl] [c_coin]做好准备！[c_reset]你需要一把[c_coin]天使钥匙[c_reset]才能进入该领域，并且每次访问只能执行[c_red]一个操作[c_reset]、增强或增强升级。 |[c_coin]天使の領域[c_reset]は、強力な強化機能でボディアーマーを強化できる領域です。[nl]強化されたボディアーマーを着用している間、強化機能はアクティブになります。[nl] [c_coin]準備してください！[c_reset]領域に入るには[c_coin]天使の鍵[c_reset]が必要で、訪問ごとに[c_red]1つのアクション[c_reset]、強化、または強化アップグレードのみ実行できます。 |[c_coin]천사의 영역[c_reset]은 강력한 증강으로 신체 방어구를 증강할 수 있는 영역입니다.[nl] 증강된 신체 방어구를 착용하는 동안 증강이 활성화됩니다.[nl] [c_coin]준비하세요![c_reset] 영역에 들어가려면 [c_coin]천사의 열쇠[c_reset]가 필요하며 방문당 [c_red]한 가지 동작[c_reset]인 증강 또는 증강 업그레이드만 수행할 수 있습니다. |[c_coin]Angelic Realm[c_reset] ist ein Reich, in dem Sie Ihre Körperpanzerung mit mächtigen Augmentationen verbessern können.[nl] Beim Tragen einer verbesserten Körperpanzerung ist die Augmentation aktiv.[nl] [c_coin]Seien Sie bereit![c_reset] Sie benötigen einen [c_coin]Angelic Key[c_reset], um das Reich zu betreten, und pro Besuch kann nur [c_red]eine Aktion[c_reset], Augmentation oder Augment-Upgrade, durchgeführt werden. |[c_coin]Le Royaume angélique[c_reset] est un royaume qui vous permet d'augmenter votre armure corporelle avec de puissants augments.[nl] Lorsque vous portez une armure corporelle augmentée, l'augmentation est active.[nl] [c_coin]Soyez prêt ![c_reset] Vous avez besoin d'une [c_coin]Clé angélique[c_reset] pour entrer dans le royaume et une seule [c_red]action[c_reset], Augmentation ou Mise à niveau d'augmentation, peut être effectuée par visite. 
angelic_realm_tutorial_2_text|On Armor Augment The [c_coin]Augments[c_reset] can be applied to your Armor, and you get two choices randomly pulled from the pool. You can replace an existing Augment any time, but you don’t keep any upgraded levels from the previous one,[nl] On Augment Upgrade, any Augment can be leveled up for a cost of Angelic Keys.[nl] If you wish to view all the different Augments, visit your [c_heroic]Journal[c_reset] and open the tab “[c_coin]Augments[c_reset]”.|"Panssarilisäyksessä [c_coin]Augmentit[c_reset] voidaan soveltaa panssariisi, ja saat kaksi vaihtoehtoa satunnaisesti altaalta. Voit korvata olemassa olevan Augmentin milloin tahansa, mutta et säilytä päivitettyjä tasoja edellisestä,[nl] Augment Upgrade -päivityksessä mikä tahansa lisäys voidaan tasoittaa Angelic Keys -avaimien hinnalla.[nl] Jos haluat tarkastella kaikkia eri lisäosia, käy [c_heroic]Journal[c_reset] ja avaa välilehti ""[c__co]"".c_in. "|Cada classe tem pelo menos 3 [c_coin]Aprimoramentos[c_reset] exclusivos para algumas de suas habilidades selecionadas.[nl] As [c_coin]Melhorias[c_reset] podem ser aplicadas à sua Armadura a partir do conjunto de [c_coin]Melhorias[c_reset] para [c_yellow]sua classe[c_reset]. [nl] Na melhoria de Aprimoramento, qualquer Aprimoramento de qualquer classe, independentemente da sua, pode subir de nível.[nl] Se quiser ver todos os diferentes Aprimoramentos, visite seu [c_heroic]Jornal[c_reset] e abra a guia “[c_coin]Aprimoramentos[c_reset]”.|На улучшении брони [c_coin]Улучшения[c_reset] могут быть применены к вашей броне, и вы получаете два варианта, случайно выбранных из пула. Вы можете заменить существующее улучшение в любое время, но вы не сохраняете никаких улучшенных уровней от предыдущего,[nl] На улучшении улучшения, любое улучшение может быть повышено за стоимость Angelic Keys.[nl] Если вы хотите просмотреть все различные улучшения, посетите ваш [c_heroic]Журнал[c_reset] и откройте вкладку «[c_coin]Улучшения[c_reset]». |护甲增强 [c_coin]增强[c_reset] 可应用于您的护甲，您可以从池中随机抽取两个选项。您可以随时替换现有的增强，但不会保留之前的任何升级级别，[nl] 在增强升级时，任何增强都可以升级，费用为天使钥匙。[nl] 如果您想查看所有不同的增强，请访问您的 [c_heroic]日志[c_reset] 并打开“[c_coin]增强[c_reset]”选项卡。 |アーマーの強化では、[c_coin]強化[c_reset]をアーマーに適用でき、プールからランダムに2つの選択肢が選ばれます。既存の強化はいつでも置き換えることができますが、以前の強化からアップグレードしたレベルは保持されません。[nl]強化のアップグレードでは、天使の鍵を消費することで、どの強化もレベルアップできます。[nl]すべての異なる強化を表示するには、[c_heroic]ジャーナル[c_reset]にアクセスし、[c_coin]強化[c_reset]タブを開きます。 |방어구 증강에서 [c_coin]증강[c_reset]은 방어구에 적용할 수 있으며, 풀에서 무작위로 두 가지 선택 사항을 가져옵니다. 언제든지 기존 증강을 교체할 수 있지만, 이전 증강의 업그레이드 레벨은 유지되지 않습니다.[nl] 증강 업그레이드에서는 모든 증강을 천사 열쇠를 소모하여 레벨업할 수 있습니다.[nl] 모든 증강을 보려면 [c_heroic]저널[c_reset]을 방문하여 “[c_coin]증강[c_reset]” 탭을 엽니다. |Bei Rüstungsverstärkung können die [c_coin]Verstärkungen[c_reset] auf deine Rüstung angewendet werden und du erhältst zwei zufällig aus dem Pool gezogene Auswahlmöglichkeiten. Du kannst eine vorhandene Verstärkung jederzeit ersetzen, aber du behältst keine Upgrade-Level der vorherigen.[nl] Bei Verstärkungs-Upgrades kann jede Verstärkung gegen einen Preis von Engelsschlüsseln aufgewertet werden.[nl] Wenn du alle verschiedenen Verstärkungen sehen möchtest, besuche dein [c_heroic]Journal[c_reset] und öffne die Registerkarte „[c_coin]Verstärkungen[c_reset]“. |Lors de l'augmentation d'armure, les [c_coin]Augments[c_reset] peuvent être appliqués à votre armure et vous avez deux choix tirés au hasard de la réserve. Vous pouvez remplacer un Augmentation existant à tout moment, mais vous ne conservez aucun niveau amélioré de l'Augment précédent. [nl] Lors de la mise à niveau d'Augment, n'importe quel Augmentation peut être mis à niveau pour un coût en Clés angéliques. [nl] Si vous souhaitez voir toutes les différentes Augmentations, visitez votre [c_heroic]Journal[c_reset] et ouvrez l'onglet « [c_coin]Augments[c_reset] ». 
angelic_realm_tutorial_3_text|When you talk to the [c_coin]Angel of Justice[c_reset], they offer you two choices: [c_coin]Armor Augment[c_reset] & [c_coin]Augment Upgrade[c_reset].[nl] Selecting the [c_coin]Armor Augment[c_reset] option opens the path to the left side gate of the realm and allows you passage to the [c_coin]Chest[c_reset] behind the gate. The chest opens a slot for you to insert the Body Armor of your choice to augment. [nl]The chest offers you two options for an augment, and you can choose either one.[nl] For extra cost of 5 additional keys, you can choose [c_coin]any augment[c_reset] from a list and apply it. [c_red]Be ready to enter the Angelic Realm and opening the chest![c_reset] Once the chest is opened, it is consumed. This means if you exit the chest without applying any augments, the chest and the key you entered with is [shake_word][c_red]consumed[c_reset][shake_reset], and you need another key to enter the Angelic Realm again. |Kun puhut [c_coin]Angel of Justice[c_reset]:lle, he tarjoavat sinulle kaksi vaihtoehtoa: [c_coin]Armor Augment[c_reset] ja [c_coin]Augment Upgrade[c_reset].[nl] [c_coin]Armor Augment[c_reset] -vaihtoehdon valitseminen avaa polun oikealle ja gaten vasemmalle puolelle. [c_coin]Arkku[c_reset] portin takana. Rintakehä avaa paikan, johon voit lisätä valitsemasi Body Armor -liivit. [nl]Arkku tarjoaa kaksi lisäysvaihtoehtoa, ja voit valita jommankumman.[nl] Saat 5 lisäavaimen lisähintaa valitsemalla [c_coin] minkä tahansa lisäyksen[c_reset] luettelosta ja ottaa sen käyttöön. [c_red]Ole valmis astumaan enkelimaailmaan ja avaamaan arkku![c_reset] Kun arkku on avattu, se kuluu. Tämä tarkoittaa, että jos poistut arkista käyttämättä lisäyksiä, arkku ja avain, jolla syötit, on [shake_word][c_red]consumed[c_reset][shake_reset], ja tarvitset toisen avaimen päästäksesi takaisin Enkelimaailmaan. |Quando você falar com o [c_coin]Anjo da Justiça[c_reset], ele lhe oferecerá duas opções: [c_coin]Aprimoramento de Armadura[c_reset] e [c_coin]Melhoria de Aprimoramento[c_reset]. Selecionar a opção [c_coin]Melhoria de Armadura[c_reset] abre o caminho para o portão do lado esquerdo do reino e permite que você passe para o [c_coin]Baú[c_reset] atrás do portão. O baú abre um espaço para você inserir o Peitoral de sua escolha para Aprimorar. [nl]O baú oferece duas opções de Aprimoramento, e você pode escolher qualquer uma delas.[nl] Pelo custo extra de 5 chaves adicionais, você pode escolher [c_coin]qualquer Aprimoramento[c_reset] para sua classe em uma lista e aplicá-lo. [c_red]Esteja pronto para entrar no Reino Angelical e abrir o baú![c_reset] Quando o baú é aberto, ele é consumido. Isso significa que, se você sair do baú sem aplicar nenhum aprimoramento, o baú e a chave serão [shake_word][c_red]consumidos[c_reset][shake_reset] e você precisará de outra chave para entrar no Reino Angelical novamente. |Когда вы говорите с [c_coin]Ангелом Справедливости[c_reset], они предлагают вам два варианта: [c_coin]Улучшение брони[c_reset] и [c_coin]Улучшение брони[c_reset].[nl] Выбор опции [c_coin]Улучшение брони[c_reset] открывает путь к левым воротам сферы и позволяет вам пройти к [c_coin]Сундуку[c_reset] за воротами. Сундук открывает слот для вставки доспеха по вашему выбору для улучшения. [nl]Сундук предлагает вам два варианта улучшения, и вы можете выбрать любой из них.[nl] За дополнительную плату в размере 5 дополнительных ключей вы можете выбрать [c_coin]любое улучшение[c_reset] из списка и применить его. [c_red]Будьте готовы войти в Царство Ангелов и открыть сундук![c_reset] После открытия сундука он будет использован. Это означает, что если вы выйдете из сундука, не применив никаких улучшений, сундук и ключ, с помощью которого вы вошли, будут [shake_word][c_red]использованы[c_reset][shake_reset], и вам понадобится другой ключ, чтобы снова войти в Ангельское Царство. |当你与[c_coin]正义天使[c_reset]交谈时，他们会为你提供两个选择：[c_coin]护甲增强[c_reset]和[c_coin]增强升级[c_reset]。[nl]选择[c_coin]护甲增强[c_reset]选项会打开通往领域左侧大门的道路，并允许你进入大门后面的[c_coin]宝箱[c_reset]。宝箱会打开一个插槽，供你插入你选择的护甲进行增强。[nl]宝箱为你提供两种增强选项，你可以选择其中之一。[nl]你可以额外花费 5 把钥匙，从列表中选择[c_coin]任何增强[c_reset]并应用它。[c_red]准备好进入天使领域并打开宝箱吧！[c_reset]打开宝箱后，它会被消耗掉。这意味着如果您在未应用任何增强的情况下离开宝箱，则您进入的宝箱和钥匙将被[shake_word][c_red]消耗[c_reset][shake_reset]，并且您需要另一把钥匙才能再次进入天使领域。 |[c_coin]正義の天使[c_reset]と話すと、2つの選択肢が提供されます: [c_coin]アーマー増強[c_reset]と[c_coin]増強アップグレード[c_reset]。[nl] [c_coin]アーマー増強[c_reset]オプションを選択すると、領域の左側のゲートへのパスが開き、ゲートの後ろにある[c_coin]チェスト[c_reset]への通路が開きます。 チェストには、増強するボディアーマーを挿入するためのスロットが開きます。 [nl]チェストには増強の2つのオプションがあり、どちらかを選択できます。[nl] 5つの追加キーの追加料金を支払うと、リストから[c_coin]任意の増強[c_reset]を選択して適用できます。 [c_red]天使の領域に入り、チェストを開く準備をしてください！[c_reset] チェストは開くと消費されます。つまり、増強を適用せずにチェストから出ると、チェストと入室時に使用したキーは[shake_word][c_red]消費[c_reset][shake_reset]され、再び天使の領域に入るには別のキーが必要になります。 |[c_coin]정의의 천사[c_reset]와 대화하면 두 가지 선택권을 제공합니다: [c_coin]방어구 증강[c_reset] 및 [c_coin]증강 업그레이드[c_reset].[nl] [c_coin]방어구 증강[c_reset] 옵션을 선택하면 영역의 왼쪽 문으로 가는 길이 열리고 문 뒤에 있는 [c_coin]상자[c_reset]로 이동할 수 있습니다.상자는 선택한 방탄복을 삽입하여 증강할 수 있는 슬롯을 엽니다.[nl]상자는 증강을 위한 두 가지 옵션을 제공하며, 둘 중 하나를 선택할 수 있습니다.[nl] 5개의 추가 열쇠를 지불하면 목록에서 [c_coin]증강[c_reset]을 선택하여 적용할 수 있습니다.[c_red]천사 영역에 들어가 상자를 열 준비를 하세요![c_reset] 상자가 열리면 소모됩니다. 즉, 아무런 증강도 적용하지 않고 상자에서 나올 경우 상자와 들어갈 때 사용한 열쇠가 [shake_word][c_red]소모[c_reset][shake_reset]되고, 다시 천사의 영역에 들어가려면 또 다른 열쇠가 필요합니다. |Wenn Sie mit dem [c_coin]Engel der Gerechtigkeit[c_reset] sprechen, werden Ihnen zwei Möglichkeiten angeboten: [c_coin]Rüstungsverstärkung[c_reset] und [c_coin]Verstärkungs-Upgrade[c_reset].[nl] Wenn Sie die Option [c_coin]Rüstungsverstärkung[c_reset] auswählen, wird der Pfad zum linken Tor des Reiches geöffnet und Sie können zur [c_coin]Truhe[c_reset] hinter dem Tor gelangen. Die Truhe öffnet einen Schlitz, in den Sie die Körperpanzerung Ihrer Wahl zur Verstärkung einsetzen können. [nl]Die Truhe bietet Ihnen zwei Optionen für eine Verstärkung, und Sie können eine von beiden wählen.[nl] Gegen die Aufpreis von 5 zusätzlichen Schlüsseln können Sie [c_coin]eine beliebige Verstärkung[c_reset] aus einer Liste auswählen und anwenden. [c_red]Machen Sie sich bereit, das Reich der Engel zu betreten und die Truhe zu öffnen![c_reset] Sobald die Truhe geöffnet ist, wird sie verbraucht. Dies bedeutet, wenn Sie die Truhe verlassen, ohne irgendwelche Erweiterungen anzuwenden, werden die Truhe und der Schlüssel, mit dem Sie sie betreten haben, [shake_word][c_red]verbraucht[c_reset][shake_reset] und Sie benötigen einen anderen Schlüssel, um das Reich der Engel wieder zu betreten. |Lorsque vous parlez à l'Ange de la Justice, il vous propose deux choix : Augmentation d'armure et Mise à niveau d'augmentation. La sélection de l'option Augmentation d'armure ouvre le chemin vers la porte de gauche du royaume et vous permet de passer au Coffre derrière la porte. Le coffre ouvre un emplacement pour que vous puissiez insérer l'armure corporelle de votre choix pour l'augmenter. Le coffre vous offre deux options pour une augmentation, et vous pouvez choisir l'une ou l'autre. Pour un coût supplémentaire de 5 clés supplémentaires, vous pouvez choisir n'importe quelle augmentation dans une liste et l'appliquer. Soyez prêt à entrer dans le royaume angélique et à ouvrir le coffre ! Une fois le coffre ouvert, il est consommé. Cela signifie que si vous quittez le coffre sans appliquer aucune augmentation, le coffre et la clé avec laquelle vous êtes entré sont [shake_word][c_red]consumés[c_reset][shake_reset], et vous avez besoin d'une autre clé pour entrer à nouveau dans le royaume angélique. 
