[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_name_512|Bamboozled||Enganado|Одураченный|||||Bambobiner
quest_description_512|Gather materials for fishing equipment||Reúna materiais para equipamentos de pesca|Соберите материалы для рыболовных снастей|||낚시 장비를 위한 재료 모으기||Rassembler les matériaux pour l'équipement de pêche
quest_objective_512_1|Bamboo sticks||Varas de bambu|Бамбуковые палочки|||대나무 막대기||Tiges de bambou
quest_objective_512_2|Rod crafted||Vara criada|Изготовленный стержень|||||Canne à pêche fabriquée
|||||||||
quest_name_513|Hook on the Line||Anzol na Linha|Крючок на леске|||낚시줄에 걸린 갈고리||Hameçon sur la ligne
quest_description_513|Find spiderwebs and a viable hook||Encontre teias de aranha e um gancho viável|Найдите паутину и надежный крючок|||거미줄과 사용할 수 있는 갈고리를 찾아라||Trouvez des toiles d'araignée et un hameçon viable
quest_objective_513_1|Spiderwebs||Teias de aranha|Паутина|||거미줄||Toiles d'araignée
quest_objective_513_2|Hook||Gancho|Крюк|||||L'hameçon
|||||||||
quest_name_514|Fish for the Greedy||Peixe para os Gananciosos|Рыба для жадных|||탐욕스러운 자를 위한 물고기||Pêche pour les gourmands
quest_description_514|Find Aki in Temple of Zamjo and rescue him||Encontre Aki no Templo de Zamjo e salve-o|Найди Аки в Храме Замджо и спаси его|||잔조 사원에서 아키를 찾아 구출하라||Trouvez Aki dans le Temple de Zamjo et sauvez-le.
quest_objective_514_1|King Tuna slain||King Tuna derrotado|Король Тунца убит|||킹 튜나 처치||Roi Thon tué
quest_objective_514_2|Aki rescued||Aki salvo|Аки спасен|||아키 구조됨||Aki sauvé
|||||||||
quest_name_515|The Eternal Chalice||O Cálice Eterno|Вечная Чаша|||영원한 성배||Le calice éternel
quest_description_515|Get the Eternal Chalice in the Steam Train||Pegue o Cálice Eterno no Trem a Vapor|Получите Вечную Чашу в Паровозе|||증기 기관차에서 영원한 성배를 얻으세요||Obtenez le calice éternel dans le train à vapeur.
quest_objective_515_1|Eternal Chalice collected||Cálice Eterno coletado|Собранная Вечная Чаша|||영원한 성배 수집됨||Calice éternel collecté
|||||||||
quest_name_516|Souls of the Damned||Alma dos Condenados|Души проклятых|||저주받은 영혼들||Âmes des damnés
quest_description_516|Harvest the souls in Prison, find a seal in Unmarked Graves and purify the souls||Colha as almas na Prisão, encontre um selo nas Sepulturas Não Marcadas e purifique as almas|Соберите души в Тюрьме, найдите печать в Безымянных Могилах и очистите души|||감옥에서 영혼을 수확하고, 이름 없는 무덤에서 봉인을 찾아 영혼을 정화하세요||Récoltez les âmes dans la prison, trouvez un sceau dans la tombe anonyme et purifiez les âmes.
quest_objective_516_1|Souls harvested||Almas colhidas|Собранные Души|||수확된 영혼||Âmes récoltées
quest_objective_516_2|Souls purified||Almas purificadas|Очищенные души|||정화된 영혼||Âmes purifiées
|||||||||
|||||||||
quest_name_517|Lilith||Lilith|Лилит|||릴리트||Lilith
quest_description_517|...||…|...|||...||...
quest_objective_517_1|Kill Lilith||Mate Lilith|Убить Лилит|||릴리스를 죽여라||Tuer Lilith
quest_objective_517_2|Lilith's Black Heart taken||Coração Negro de Lilith tomado|Черное Сердце Лилит забрано|||릴리스의 검은 심장 획득||Coeur noir de Lilith récupéré
|||||||||
quest_name_518|The Perfect Spot||O Lugar Perfeito|Идеальное Место|||완벽한 장소||L'endroit parfait
quest_description_518|Clear the area around Moira's telescope in Deep Space||Limpe a área em volta do telescópio de Moira no Espaço Profundo|Очистите область вокруг телескопа Мойры в Глубоком Космосе|||모이라의 망원경 주변을 정리하세요||Nettoyer la zone autour du télescope de Moira dans l'Espace profond.
quest_objective_518_1|Area cleared||Área limpa|Территория очищена|||지역 정리됨||Zone dégagée
|||||||||
quest_name_519|Drink Tea||Beba Chá|Пейте чай|||차를 마시다||Boire du thé
quest_description_519|Drink stardust infused tea||Beba Chá Infundido de Poeira Estelar|Пейте чай, настоянный на звездной пыли|||별가루가 든 차를 마시세요||Thé infusé à la poussière d'étoiles
quest_objective_519_1|Tea drunk||Chá bebido|Чай выпит|||차에 취함||Thé bu
|||||||||
quest_name_520|Stardust Poisoning||Intoxicação de Poeira Estelar|Отравление Звездной Пылью|||별가루 중독||Empoisonnement à la poussière d'étoiles
quest_description_520|Find antidote in Distorted Horizons||Encontre o Antídoto nos Horizontes Distorcidos|Найдите противоядие в Искаженных Горизонтах|||왜곡된 지평선에서 해독제를 찾아라||Trouvez l'antidote dans l'horizon distordu.
quest_objective_520_1|Antidote found||Antídoto encontrado|Найдено противоядие|||해독제 발견||Antidote trouvé
quest_objective_520_2|Antidote consumed||Antídoto consumido|Потребленное противоядие|||해독제 사용됨||Antidote consommé
|||||||||
quest_name_521|The Bestest Tea||O Melhor Chá|Самый Лучший Чай|||최고의 차||Le meilleur thé
quest_description_521|Find ingredients at the Parallel Dimension||Encontre Ingredientes nas Dimensões Paralelas|Найдите ингредиенты в Параллельном измерении|||평행 차원에서 재료를 찾아라||Trouver les ingrédients dans la dimension parallèle
quest_objective_521_1|Cosmic Roots||Raízes Cósmicas|Космические Корни|||우주의 뿌리||Racines cosmiques
quest_objective_521_2|Nebula Lily||Lírio de Nébula|Туманность Лилия|||성운 백합||Lys nébuleux
quest_objective_521_3|Anti-matter shroom||Cogumelo Antimatéria|Помещение для хранения антивещества|||반물질 버섯||Champignon anti-matière
quest_objective_521_4|Schrödinger's Cat||Gato de Schrödinger|Schrödinger's Cat|||슈뢰딩거의 고양이||Chat de Schrödinger
|||||||||
|||||||||
[Additional side quests]|||||||||
|||||||||
quest_name_600|Olof’s Medicine||Remédio de Olof||||올로프의 약||
quest_description_600|Find Olof’s medicine from an ice crack in Arctic Tundra||Encontre o remédio de Olof em uma rachadura de gelo na Tundra do Ártico||||북극 툰드라의 얼음 틈에서 올라프의 약을 찾아라||
quest_objective_600_1|Medicine collected||Remédio coletado||||약품 수집 완료||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
[MAIN QUEST]|||||||||
quest_name_1000|Corrupted Nature||Natureza Corrompida|Испорченная Природа|||부패한 자연||Nature corrompue
quest_description_1000|Kill Scorchwood in the River of Inoya.||Mate Madeira Chamuscada no Rio de Inoya|Убейте Скорчвуда в реке Иноя.|||이노야 강에서 스코치우드를 처치하세요.||Tuez Bois brûlé dans la rivière d'Inoya.
quest_objective_1000_1|Scorchwood killed||Madeira Chamuscada morto|Скорчвуд убит|||스코치우드 처치됨||Bois brûlé tué
|||||||||
quest_name_1001|Sarcaster's coffee beans|Sarcasterin kahvipavut|Os grãos de café de Sarcaster|Кофейные зерна Саркастера|萨卡斯特的咖啡豆|サーカスターのコーヒー豆|사캐스터의 커피  콩|Sarcasters Kaffeebohnen|Grains de café de Sarcaster
quest_description_1001|Retrieve Sarcaster's coffee beans from the Waypoint in Outskirts of Inoya.|Hae Sarcasterin kahvipavut tason I alueen I reittipisteeltä.|Recupere os grãos de café de Sarcaster no Waypoint da Zona I do Act I.|Извлеките кофейные зерна Саркастера из путевой точки зоны I Act I.|从第一章第 I 幕的传送点取回萨卡斯特咖啡豆。|幕 I のゾーン I のボスからサーカスターのコーヒー豆を取り戻してください。|액트 I의 첫 번째 구역 보스에게서 사캐스터의 커피 콩을 되찾아오십시오!|Sammle Sarcasters Kaffeebohnen von Wegpunkt AKT I Zone I.|Récupérez les grains de café de Sarcaster au point de passage de l'Acte I de la Zone I.
quest_objective_1001_1|Coffee beans retrieved.|Kahvipavut haettu.|Grãos de café recuperados.|Извлечены кофейные зерна.|已取得咖啡豆。|コーヒー豆が取り戻されました。|되찾은 커피 콩.|Kaffeebohnen gesammelt.|Grains de café récupérés.
|||||||||
quest_name_1002|Bricks.. So many Bricks|Tiiliä... Niin paljon tiiliä|Tijolos... Tantos tijolos|Кирпичи.. Так много кирпичей|砖块…好多砖块|レンガ…たくさんのレンガ|벽돌이.. 너무나 많네|Ziegel .. So viele Ziegel|Des briques. Tellement de briques
quest_description_1002|Collect Bricks from destructible objects anywhere.|Kerää tiiliä laatikoista.|Colete tijolos de caixas.|Собирайте кирпичи из коробок.|从盒子里收集砖块。|箱からレンガを集めましょう。|상자에서 벽돌을 모으십시오.|Sammle Ziegel ??aus Kisten.|Collecter des briques dans des par ci, par là.
quest_objective_1002_1|Bricks collected.|Tiiltä kerätty.|Tijolos coletados.|Собранные кирпичи.|已收集砖块。|レンガが集められました。|모은 벽돌.|Ziegel gesammelt.|Briques collectées.
|||||||||
quest_name_1003|Hot Water|Kuumaa vettä|Água Quente|горячая вода|热水|お湯|뜨거운 물|Heisses Wasser|Eau chaude
quest_description_1003|Collect hot water from The Pumpkin Patch.|Kerää kuumaa vettä tason I alueelta III.|Colete água quente no Ato I Zona III.|Соберите горячую воду из зоны III действия I.|从章节I地区III收集热水。|幕 I のゾーン III からお湯を集めましょう。|액트 I의 세 번째 구역에서 뜨거운 물을 모으십시오.|Sammle heisses Wasser aus AKT I Zone III|Collectez de l'eau chaude aux Champs de citrouilles.
quest_objective_1003_1|Hot water collected|Kuumaa vettä kerätty.|Água quente coletada.|Собранная горячая вода|已收集热水。|お湯が集められました。|모은 뜨거운 물.|Heisses Wasser gesammelt.|Eau chaude collectée
quest_objective_1003_2|Kill the Colossal Pumpkin in Pumpkin Cellar||Mate a Abóbora Colossal no Porão de Abóboras||||호박 저장실에서 거대한 호박을 처치하세요||
|||||||||
quest_name_1021|Purging the Lands||Purgando as Terras|Очищение Земель|||땅 정화||Purger les contrées
quest_description_1021|Collect body parts from monsters and bring them to Magister Kujala in the Fields of Battle.||Colete partes de corpo de monstros e traga-os para o Magister Kujala nos Campos de Batalha.|Собирайте части тел монстров и приносите их доктору Тинкердинку на полях сражений.|||몬스터의 신체 부위를 수집하여 전투의 들판에 있는 마지스터 쿠잘라에게 가져가세요.||Collectez des morceaux de corps sur les monstres et apportez-les au Magister Kujala dans les champs de bataille.
quest_objective_1021_1|Body parts collected|Ruumiinosia kerätty|Partes do corpo coletadas|Собранные части тела|已收集身体部位|ボディパーツが集められました|모은 신체 조각|Koerperteile gesammelt|morceaux de corps collectées
|||||||||
quest_name_1022|Shock Therapy|Shokkiterapiaa|Terapia de Choque|Шоковая терапия|惊吓疗法|ショック・セラピー|충격 요법|Schocktherapie|Thérapie de choc
quest_description_1022|Use the Shocker-3000 to shock monsters.|Käytä Sähkötin-3000 vihollisten sähkötykseen.|Use o Shocker-3000 para eletrocutar os inimigos.|Используйте Шокер-3000, чтобы шокировать монстров.|用惊吓者-3000惊吓敌人。|ショッカー-3000を使って敵に衝撃を与えてください。|적들에게 쇼커-3000을 사용하십시오.|Verwende den Shocker-3000, um Feinde zu schocken.|Utilisez le Choc-3000 pour choquer les monstres.
quest_objective_1022_1|Enemies shocked|Vihollista sähkötetty|Inimigos eletrocutados|Враги в шоке|已惊吓敌人|敵が衝撃を受けました|충격받은 적.|Feinde geschockt|Ennemis choqués
|||||||||
quest_name_1023|Corruptor of the Forest|Metsän korruptoija|Corruptor da Floresta|Осквернитель леса|森林的腐化者|森の破壊者|숲 파괴자|Verderber des Waldes|Corrupteur de la forêt
quest_description_1023|Find Gurag in King’s Throne and kill him! Report to Gunhild Yngouf in Danethorpe.||Encontre Gurag no Trono do Rei e mate-o! Reporte para Gunhild Yngouf em Danethorpe.|"Найди Гурага в ""Королевском троне"" и убей его! Явись к Гунхильд Ингуф в Данеторп."|||왕의 왕좌에서 구락을 찾아 죽이세요! 다네소프에서 군힐드 잉구프에게 보고하세요.||Trouvez Gurag dans la salle du throne et tuez-le ! Faites votre rapport à Gunhild Yngouf à Danethorpe.
quest_objective_1023_1|Gurag slain|Gurag surmattu|Gurag morto|Гураг убит|已杀死古拉格|グラゴが殺されました|구라그 처치|Gurag getoetet|Gurag tué
|||||||||
quest_name_1024|Provide your aid||Forneça sua ajuda|Окажите свою помощь|||||Apportez votre aide
quest_description_1024|Kill monsters in the lands of Danethorpe. Meet Halstein at the Chilling Lake to claim your reward.||Mate monstros nas terras de Danethorpe, encontre-se com Meet Halstein no Lago Gelado para receber sua recompensa.|Убивайте монстров на землях Дейнторпа. Встретьтесь с Халстейном у Леденящего озера, чтобы получить свою награду.|||다네소프 땅에서 몬스터를 처치하세요. 보상을 받기 위해 차가운 호수에서 할스테인을 만나세요.||Tuez des monstres dans les environs de Danethorpe. Retrouvez Halstein au lac gelé pour réclamer votre récompense.
quest_objective_1024_1|Frost Goblins slain||Goblins de Gelo derrotados|Ледяные Гоблины убиты|||서리 고블린 처치||Gobelins de givre tués
quest_objective_1024_2|Frost Skeletons slain||Esqueletos de Gelo derrotados|Убитые Ледяные Скелеты|||서리 해골 처치||Squelettes de givre tués
quest_objective_1024_3|Frost Dragons slain||Dragões de Gelo derrotados|Ледяные Драконы убиты|||서리 드래곤 처치||Dragons de givre tués
quest_objective_1024_4|Ice Elementals slain||Elementais de Gelo derrotados||||얼음 원소 처치||
|||||||||
quest_name_1025|Icy Enchanters|Jäiset lumoajat|Encantadores Gelados|Ледяные Чародеи|寒冰咏唱者|アイシーエンチャンター|냉기를 부르는 자|Eisige Zauberer|Enchanteurs de glace
quest_description_1025|Interrupt frozen portals in Snowy Mountains and meet me at the entrance of the Glacial Trail!||Interrompa portais congelados em Montanhas Nevadas e encontre-me na entrada da Trilha Glacial!|Прервите работу замороженных порталов в Заснеженных горах и встретимся у входа на Ледниковую Тропу!|||눈 덮인 산맥에서 얼어붙은 포탈을 중단시키고 빙하 길 입구에서 나를 만나세요!||Interrompez les portails gelés dans les montagnes enneigées et retrouvez-moi à l'entrée de la piste glaciaire !
quest_objective_1025_1|Portals interrupted|Portaalia estetty|Portais interrompidos|Прерванные порталы|已干扰传送门|ポータルが中断されました|닫은 포탈.|Portalebeschoerung unterbrochen|Portails interrompus
|||||||||
quest_name_1026|Death Itself|Itse kuolema|A Própria Morte|Сама Смерть|死亡本身|死そのもの|죽음 그 자체|Selbst ist der Tod|Mort elle-même
quest_description_1026|Kill Grim Reaper in the Death’s Breach!|Surmaa Viikatemies tasossa II.|Mate o Ceifador na Fenda da Morte|Убейте Мрачного Жнеца Death's Breach!|杀死章节II的死神。|幕 II でグリム・リーパーを殺してください。|액트 II의사신을 처치하십시오.|Besiege den Sensenmann in AKT II.|Tuez la Faucheuse sinistre dans la brèche de la Mort !
quest_objective_1026_1|Grim Reaper slain|Viikatemies surmattu|Ceifador morto|Мрачный Жнец убит|已杀死死神|グリム・リーパーが殺されました|사신 처치.|Sensenmann getoetet|Faucheuse sinistre tué
|||||||||
quest_name_1027|Save the Innocent!|Pelasta viattomat!|Salve os inocentes!|Спасите Невинных!|拯救无辜者！|無実な人たちを救え！|결백한 사람들 구하기!|Rette die Unschuldigen!|Sauvez les innocents !
quest_description_1027|Escort prisoners to the Waypoint in the Corrupted Oasis.||||||죄수들을 부패한 오아시스의 웨이포인트로 호위하세요.||
quest_objective_1027_1|Prisoners saved|Vankia pelastettu|Prisioneiros salvos|Спасенные заключенные|已拯救囚徒|囚人を救いました|구출한 죄수.|Gefangene gerettet|Prisonniers sauvés
|||||||||
quest_name_1028|Purify the sands of Mos’Arathim||Purifique as areais de Mos’Arathim|Очисти пески Мосаратхима|||모스아라팀의 모래를 정화하라||Purifiez les sables de Mos'Arathim
quest_description_1028|Slay monsters around the desert and meet me in the second floor of the Pyramid.||Derrote monstros ao redor do deserto e encontre-me no segundo andar da Pirâmide.|Убивайте монстров по всей пустыне и встречайтесь со мной на втором этаже Пирамиды.|||사막 주변의 몬스터들을 처치하고 피라미드 2층에서 나를 만나세요.||Tuez des monstres dans le désert et retrouvez-moi au deuxième étage de la Pyramide.
quest_objective_1028_1|Skeletons slain|Luurankoa surmattu|Esqueletos mortos|Убитые скелеты|已杀死骷髅|スケルトンが殺されました|처치한 해골|Skelette getoetet|Squelettes tués
quest_objective_1028_2|Orcs slain|Örkkiä surmattu|Orcs mortos|Убитые орки|Orcs slain|Orcs slain|오크 처치|Orcs slain|Orques tués
quest_objective_1028_3|Desert Beasts slain|Hiekkapetoja surmattu|Bestas do Deserto mortas|Звери пустыни убиты|已杀死沙漠野兽|砂漠の獣が殺されました|처치한 사막 야수|Wuestentiere getoetet|Bêtes du désert tuées
quest_objective_1028_4|Sand Wasps slain|Hiekka-ampiaista surmattu|Vespas de Areia mortas|Песчаные осы убиты|已杀死沙漠黄蜂|砂のスズメバチが殺されました|처치한 모래 말벌|Sandwespen getoetet|Guêpes des sables tuées
quest_objective_1028_5|Mummies slain|Muumiota surmattu|Múmias mortas|Убитые мумии|已杀死木乃伊|ミイラが殺されました|처치한 미라|Mumien toeten|Momies tuées
quest_objective_1028_6|Shadow Anomalies slain|Varjo-olentoa surmattu|Anomalias das Sombras mortas|Теневые Аномалии уничтожены|已杀死阴影恶魔|影の異常が殺されました|처치한 그림자 이상|Shadow Anomalies getoetet|Anomalies de l'ombre tuées
|||||||||
quest_name_1029|Protector of Graves|Hautojen suojelija|Protetor de Sepulturas|Защитник могил|坟墓守护者|墓穴の守護者|무덤의 수호자|Beschuetzer des Pharaonengrabes|Protecteur des tombes
quest_description_1029|Kill Anubis in the Tomb of the Fallen King!|Surmaa Anubis tasossa III.|Mate Anúbis na Tumba do Rei Caído!|Убейте Анубиса в Гробнице Павшего короля!|杀死章节III的阿努比斯。|幕 III でアヌビスを殺してください。|액트 III의 아누비스를 처치하십시오.|Toetet Anubis in AKT III.|Tuez Anubis dans la tombe du roi déchu !
quest_objective_1029_1|Anubis slain|Anubis surmattu|Anúbis morto|Анубис убит|已杀死阿努比斯|アヌビスが殺されました|아누비스 처치.|Anubis getoetet|Anubis tué
|||||||||
quest_name_1030|Dungeon Master|Luolamestari|Mestre da Masmorra|Мастер Подземелья|Dungeon Master|Dungeon Master|던전 마스터|Dungeon Master|Maître du donjon
quest_description_1030|Clear the Old Copper Mine nearby the Old Mining Village!||Limpe a Antiga Mina de Cobre perto da Antiga Vila Mineradora|Очистите Старый Медный рудник рядом со Старой Шахтерской деревней!|||근처의 오래된 광산 마을에 있는 오래된 구리 광산을 정리하세요!||Dégagez l'ancienne mine de cuivre près de l'ancien village minier !
quest_objective_1030_1|Collector of Bones slain||Coletor de Ossos morto|Убитый Собиратель костей|||뼈 수집가 처치됨||Collectionneur d'os tué
quest_objective_1030_2|Goblins Killed||Goblins derrotados||||고블린 처치||
|||||||||
quest_name_1031|Precious Equipment||Equipamento Precisoso||||귀중한 장비||
quest_description_1031|Gather mining equipment and purge the undead from Highland Mines, bring the equipment to Thastun in the Corrupted Caves||Reúna equipamentos de mineração e elimine os mortos-vivos das Minas das Terras Altas, leve os equipamentos para Thastun nas Cavernas Corrompidas||||채굴 장비를 모아 고지대 광산의 언데드를 소탕하고, 장비를 타락한 동굴의 타스툰에게 가져가십시오||
quest_objective_1031_1|Mining Equipment Retrieved||Equipamentos de Mineração Recuperados||||채굴 장비 회수됨||
quest_objective_1031_2|Cave Slimes killed||Gosmas da Caverna mortos||||동굴 슬라임 처치||
quest_objective_1031_3|Skull Crawlers killed||Caveiras Rastejantes mortos||||해골 크롤러 처치||
|||||||||
quest_name_1032|Prove Yourself|Näytä taitosi|Prove-se|Прояви Себя|证明自己|自分を証明する|네 자신을 증명하라|Sich selbst beweisen|Faites vos preuves
quest_description_1032|Kill enemies with the Flail.|Surmaa vihollisia varstalla.|Mate inimigos com o Mangual.|Убивайте врагов Кистенем.|用连枷杀死敌人。|からざおを使って敵を殺してください。|철퇴로 적들을 처치하십시오.|Toete Feinde mit dem Dreschflegel.|Tuez des ennemis avec le fléau.
quest_objective_1032_1|Enemies slain|Vihollista surmattu|Inimigos mortos|Враги убиты|已杀死敌人|敵が殺されました|처치한 적|Gegner getoetet|Ennemis tués
|||||||||
quest_name_1033|Demon´s Lair||Covil do Demônio||||악마의 소굴||
quest_description_1033|Find and kill the Damned Commander and slay his minions.||Encontre e mate o Comandante Maldito e elimine seus lacaios.||||저주받은 사령관을 찾아 처치하고 그의 부하들을 섬멸하라.||
quest_objective_1033_1|Damned Commander killed||Comandante Maldito morto||||저주받은 지휘관 처치됨||
quest_objective_1033_2|Enemies slain||Inimigos eliminados||||적 처치||
|||||||||
quest_name_1034|Damien, Son of Satan|Damien, Saatanan poika|Damien, filho de Satã|Дэмиен, Сын сатаны|达米安，撒旦之子|ダミアン、サタンの子|사탄의 아들, 데미언|Damien, Sohn Satans|Damien, fils de Satan
quest_description_1034|Kill Damien in the Altar of Lost Souls!||Mate Damien no Altar das Almas Perdidas|Убейте Дэмиена на Алтаре Потерянных Душ!|||데미안을 잃어버린 영혼의 제단에서 처치하세요!||Tuez Damien dans l'autel des âmes perdues !
quest_objective_1034_1|Damien slain|Damien surmattu|Damien morto|Дэмиен убит|已杀死达米安|ダミアンが殺されました|데미언 처치.|Damien wurde getoetet|Damien tué
[KARP OF DOOM]|||||||||
quest_name_1035|Corrupted Statues|Korruptoituneet patsaat|Estátuas Corrompidas|Испорченные Статуи|腐败的雕像|壊れた彫像|부패한 조각상|Verderbte Statuen|Statues corrompues
quest_description_1035|Destroy corrupted statues and purge the infestation inside the Underground Gardens located in Misty Swamps.||Destrua as estátuas corrompidas e expurgue a infestação dentro dos Jardins Subterrâneos localizado no Pântano Enevoado||||안개 늪지대에 위치한 지하 정원에서 부패한 조각상을 파괴하고 내부의 감염을 정화하세요.||
quest_objective_1035_1|Corrupted statues destroyed|Patsasta tuhottu|Estátuas corrompidas destruídas|Разрушенные испорченные статуи|损坏的雕像被摧毁|壊れた彫像が破壊された|타락한 조각상 파괴|Verderbte Statuen zerstört|Statues corrompues détruites
quest_objective_1035_2|Garden Colossus slain||Colosso do Jardim derrotado||||정원 거인 처치||
|||||||||
quest_name_1036|Stop the Invasion|Pysäytä tunkeutujat|Pare a Invasão|Остановите Вторжение|阻止入侵|侵略を止める|침략을 중지|Stoppen Sie die Invasion|Arrêtez l'invasion
quest_description_1036|Bomb the ships at the edge of Fuji Coast!|Pommita veneitä tason V alueen III laidalla.|Bombardeie os Navios nas bordas do Litoral de Fuji|Бомбите корабли на краю побережья Фудзи!|轰炸第五战 区边缘的船只。|幕 V ゾーン III の端に船を爆撃します。|액트 V 구역 III의 가장자리에서 배를 폭격.|Bombardieren Sie die Schiffe am Rande von Act V Zone III.|Bombarde les navires au bord de la côte de Fuji !
quest_objective_1036_1|Ships sunk|Venettä upotettu|Navios afundados|Потопленные корабли|船舶沉没|沈没した船|선박 침몰|Schiffe versenkt|Navires coulés
|||||||||
quest_name_1037|We Feast on Fish|Kalasaalis|Nos Deliciamos com Peixes|Мы лакомимся Рыбой|我们吃鱼|魚を食べる|우리는 물고기를 잔치|Wir essen Fisch|Nous nous régalons de poissons
quest_description_1037|Capture fishes with fish trap in the Sea of Karponia and  Temple of Zamjo.|Saalista kalaa kala-ansalla tason V alueella IV tai V.|Capture Peixes com Armadilhas no Mar de Karponia e Templo de Zamjo.|Ловите рыбу с помощью рыболовной ловушки в Карпонийском море и храме Замджо.|在第 V 区 IV 或 V 区使用诱捕 器捕获鱼类。|幕 V ゾーン IV または V のフィッシュ トラップで魚 を捕まえます。|행위 V 영역 IV 또는 V에서 물고기 함정으로 물고기를 잡습니다.|Fangen Sie Fische mit Fischfalle in Akt V Zone IV oder V.|Capturez des poissons à l'aide d'un piège à poissons dans la mer de Karponia et le temple de Zamjo.
quest_objective_1037_1|Fishes captured|Kalaa|Peixes capturados|Пойманные рыбы|捕获的鱼|捕獲した魚|잡은 물고기|Fische gefangen|Poissons capturés
|||||||||
quest_name_1038|Sushi Time!|Sushi-aika!|Hora do Sushi!|Время суши!|寿司时间！|寿司タイム！|스시 시간!|Sushi-Zeit!|C'est l'heure des sushis !
quest_description_1038|Kill Karp King in the Emperor’s Chamber!||Mate o Rei Carpa na Câmara do Imperador!|Убейте короля Карпов в покоях императора!|||황제의 방에서 잉어 왕을 처치하세요!||Tuez le roi Carpe dans la chambre de l'empereur !
quest_objective_1038_1|Karp King killed|Karppikuningas surmattu|Rei Carpa morto|Карп Кинг убит|卡普·金被杀|殺されたカープキング|잉어 왕 사망|Karp King getötet|Roi Carpe tué
[DEPTHS OF HELL]|||||||||
quest_name_1039|Preparation|Valmistautuminen|Preparação|Подготовка|制备|準備|예비|Vorbereitung|Préparation
quest_description_1039|Collect essence and retrieve Book of Command from the Graveyard!||Colete essência e recupere o Livro do Comando no Cemitério!|Соберите эссенцию и заберите Книгу Повелений с Кладбища!|||정수를 모아 묘지에서 명령의 책을 회수하세요!||Collecte l'essence et récupère le Livre de commandement dans le cimetière !
quest_objective_1039_1|Book of Command|Komentokirja|Livro do Comando|Книга повелений|命令书|支配の書|커맨드 북|Buch der Beherrschung|Livre de commandement
quest_objective_1039_2|Essence|Esanssia|Essência|Сущность|本质|エッセンス|본질|Essenz|Essence
|||||||||
quest_name_1040|Shut Down|Sammutus|Desligar|Выключен|关掉|シャットダウン|셧다운|Herunterfahren|Extinction
quest_description_1040|Close demonic portals around the Cathedral.||Feche portais demoníacos ao redor da Catedral.|Закройте демонические порталы вокруг Собора и Тюрьмы|||대성당 주변의 악마 포탈을 닫으세요.||Fermer les portails démoniaques autour de la cathédrale.
quest_objective_1040_1|Portals closed|Portaalia suljettu|Portais fechados|Порталы закрыты|门户关闭|閉じたポータル|포털 폐쇄|Portale geschlossen|Portails fermés
|||||||||
quest_name_1041|Highway to Hell|Valtatie Helvettiin|Estrada para o Inferno|Шоссе в Ад|通向地狱的公路|地獄へのハイウエイ|지옥으로가는 고속도로|Autobahn zur Hölle|Autoroute de l'enfer
quest_description_1041|Clear cogs out of mysterious vines in the Steam Train.||Limpe as vinhas misteriosas de engrenagens no Trem a Vapor.|Очистите винтики от таинственных виноградных лоз в Паровозе.|||증기 기관차에서 신비한 덩굴을 제거하세요.||Dégagez des lianes mystérieuses sur les engrenages dans le train à vapeur.
quest_objective_1041_1|Cogs cleared|Rattaita puhdistettu|Engrenagens Limpas|Винтики очищены|齿轮已清除|クリアされた歯車|톱니가 깨끗해짐|Zahnräder geräumt|Rouages dégagés
|||||||||
quest_name_1042|Summon Satan|Kutsu Saatana|Convocar Satã|Призови сатану|召唤撒旦|サタン召喚|사탄 소환|Beschwöre Satan|Invoquer Satan
quest_description_1042|Kill Satan in the Seventh Layer of Hell!||Mate Satã na Sétima Camada do Inferno|Убейте сатану на Седьмом уровне Ада!|||지옥의 일곱 번째 층에서 사탄을 처치하라!||Tuer Satan au septième étage de l'enfer !
quest_objective_1042_1|Satan killed|Saatana surmattu|Satã morto|Сатана убит|撒旦被杀|サタンが殺された|사탄이 살해되다|Satan getötet|Satan tué
[WRATH OF MEVIUS]|||||||||
quest_name_1043|Technology is Great|Teknologia on siistiä|A Tecnologia é Ótima|Технология - это здорово|技术很棒|テクノロジーは素晴らしい|기술은 대단하다|Technologie ist großartig|La technologie, c'est génial
quest_description_1043|Suck black holes with Sucker-5000 within Deep Space.||Aspire buracos negros com o Aspirador-5000 dentro do Tempo Perdido.|Отсосите черные дыры с помощью Sucker-5000 за Потерянное время.|||Sucker-5000을 사용하여 블랙홀을 빨아들여 심우주에서.||Aspirez les trous noirs avec Aspi-5000 dans la Zone I de l'Acte VII.
quest_objective_1043_1|Black holes captured|Mustaa-aukkoa kaapattu|Buracos negros capturados|Захваченные черные дыры|黑洞被捕获|捕獲されたブラックホール|블랙홀 캡처|Schwarze Löcher gefangen|Trous noirs capturés
|||||||||
quest_name_1044|Lock & Load!|Lataa ja varmista!|Travar & Carregar!|Заприте и загружайте!|锁定并加载！|ロックしてロード！|잠금 및로드!|Sichern und Laden!|Verrouillé et chargé !
