[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
hellKarpKing_desc|Kill Karp King on hell difficulty|Tapa Karp King helvetin vaikeuksissa|Mate o Rei Carpa na dificuldade inferno|Убить Карпа Кинга на уровне сложности «ад»|在地狱难度下杀死卡普之王|地獄の難易度でカープキングを倒す|지옥 난이도에서 카프 킹 처치|Töte Karp King auf Höllenschwierigkeit|Tuer Karp King en difficulté infernale
hellSatan_desc|Kill Satan on hell difficulty|Tapa Saatana helvetin vaikeuksissa|Mate Satã na dificuldade inferno|Убить Сатану на уровне сложности «ад»|在地狱难度下杀死撒旦|地獄の難易度でサタンを倒す|지옥 난이도에서 사탄 처치|Töte Satan auf Höllenschwierigkeit|Tuer Satan en difficulté infernale
hellMevius_desc|Kill Mevius on hell difficulty|Tapa Mevius helvetin vaikeuksissa|Mate Mevius na dificuldade inferno|Убить Мевиуса на уровне сложности «ад»|在地狱难度下杀死梅维斯|地獄の難易度でメビウスを倒す|지옥 난이도에서 메비우스 처치|Töte Mevius auf Höllenschwierigkeit|Tuer Mevius en difficulté infernale
hellOdin_desc|Kill Corrupted Odin on hell difficulty|Tapa korruptoitunut Odin helvetin vaikeuksissa|Mate Odin Corrompido na dificuldade inferno|Убить Порченного Одина на уровне сложности «ад»|在地狱难度下杀死堕落的奥丁|地獄の難易度でコラプトオーディンを倒す|지옥 난이도에서 타락한 오딘 처치|Töte den verdorbenen Odin auf Höllenschwierigkeit|Tuer Odin corrompu en difficulté infernale
nightmareGurag_desc|Kill Gurag on nightmare difficulty|Tapa Gurag painajaisvaikeudessa|Mate Gurag na dificuldade pesadelo|Убить Гурага на уровне сложности «кошмар»|在噩梦难度下杀死 Gurag|悪夢の難易度でグラグを倒す|악몽 난이도에서 구라그 처치|Töte Gurag auf Albtraumschwierigkeit|Tuer Gurag en difficulté cauchemardesque
nightmareReaper_desc|Kill Grim Reaper on nightmare difficulty|Tapa Grim Reaper painajaisvaikeudessa|Mate o Ceifador na Dificuldade pesadelo|Убить Мрачного Жнеца на уровне сложности «кошмар»|在噩梦难度下杀死死神|悪夢の難易度でグリムリーパーを倒す|악몽 난이도에서 그림 리퍼 처치|Töte Sensenmann auf Albtraumschwierigkeit|Tuer Grim Reaper en difficulté cauchemardesque
nightmareAnubis_desc|Kill Anubis on nightmare difficulty|Tapa Anubis painajaisvaikeudessa|Mate Anubis na dificuldade pesadelo|Убить Анубиса на уровне сложности «кошмар»|在噩梦难度下杀死阿努比斯|悪夢の難易度でアヌビスを倒す|악몽 난이도에서 아누비스 처치|Töte Anubis auf Albtraumschwierigkeit|Tuer Anubis en difficulté cauchemardesque
nightmareDamien_desc|Kill Damien on nightmare difficulty|Tapa Damien painajaisvaikeudessa|Mate Damien na dificuldade pesadelo|Убить Дэмиена на уровне сложности «кошмар»|在噩梦难度下杀死 Damien|悪夢の難易度でダミアンを倒す|악몽 난이도에서 데미안 처치|Töte Damien auf Albtraumschwierigkeit|Tuer Damien en difficulté cauchemardesque
nightmareKarpKing_desc|Kill Karp King on nightmare difficulty|Tapa Karp King painajaisvaikeudessa|Mate o Rei Carpa na dificuldade pesadelo|Убить Карпа Кинга на уровне сложности «кошмар»|在噩梦难度下杀死卡普之王|悪夢の難易度でカープキングを倒す|악몽 난이도에서 카프 킹 처치|Töte Karp King auf Albtraumschwierigkeit|Tuer Karp King en difficulté cauchemardesque
nightmareSatan_desc|Kill Satan on nightmare difficulty|Tapa Saatana painajaisten vaikeuksissa|Mate Satã na dificuldade pesadelo|Убить Сатану на уровне сложности «кошмар»|在噩梦难度下杀死撒旦|悪夢の難易度でサタンを倒す|악몽 난이도에서 사탄 처치|Töte Satan auf Albtraumschwierigkeit|Tuer Satan en difficulté cauchemardesque
nightmareMevius_desc|Kill Mevius on nightmare difficulty|Tapa Mevius painajaisvaikeudessa|Mate Mevius na dificuldade pesadelo|Убить Мевиуса на уровне сложности «кошмар»|在噩梦难度下杀死梅维斯难度|悪夢の難易度でメビウスを倒す難易度|악몽 난이도에서 메비우스 처치|Töte Mevius auf Albtraumschwierigkeit|Tuer Mevius en difficulté cauchemardesque
nightmareOdin_desc|Kill Corrupted Odin on nightmare difficulty|Tapa korruptoitunut Odin painajaisvaikeudessa|Mate Odin Corrompido na dificuldade pesadelo|Убить Порченного Одина на уровне сложности «кошмар»|在噩梦难度下杀死堕落的奥丁|悪夢の難易度で堕落したオーディンを倒す|처치 악몽 난이도에서 부패한 오딘 처치|Töte den verdorbenen Odin auf Albtraumschwierigkeit Schwierigkeit|Tuer Odin corrompu en difficulté cauchemardesque
normalGurag_desc|Kill Gurag on normal difficulty|Tapa Gurag normaalilla vaikeusasteella|Mate Gurag na dificuldade normal|Убить Гурага на уровне сложности «нормальный» сложность|在正常难度下杀死古拉格|通常の難易度でグラグを倒す|일반 난이도에서 구라그 처치|Töte Gurag auf normalem Schwierigkeitsgrad|Tuer Gurag en difficulté normale
normalReaper_desc|Kill Grim Reaper on normal difficulty|Tapa Grim Reaper normaalilla vaikeusasteella|Mate o Ceifador na Dificuldade normal|Убить Grim Reaper на нормальной сложности|在正常难度下杀死死神|通常の難易度で死神を倒す|일반 난이도에서 그림 리퍼 처치|Töte Grim Reaper auf normalem Schwierigkeitsgrad|Tuer Grim Reaper en difficulté normale
normalAnubis_desc|Kill Anubis on normal difficulty|Tapa Anubis normaalilla vaikeusasteella |Mate Anubis na dificuldade normal|Убить Anubis на нормальной сложности|在正常难度下杀死阿努比斯|通常の難易度でアヌビスを倒す|일반 난이도에서 아누비스 처치|Töte Anubis auf normalem Schwierigkeitsgrad|Tuer Anubis en difficulté normale
normalDamien_desc|Kill Damien on normal difficulty|Tapa Damien normaalilla vaikeusasteella|Mate Damien na dificuldade normal|Убить Damien на нормальной сложности|在正常难度下杀死达米安|通常の難易度でダミアンを倒す|일반 난이도에서 데미안 처치|Töte Damien auf normalem Schwierigkeitsgrad|Tuer Damien en difficulté normale
normalKarpKing_desc|Kill Karp King on normal difficulty|Tapa Karp King normaalilla vaikeusasteella|Mate o Rei Carpa na dificuldade normal|Убить Karp King на нормальной сложности|在正常难度下杀死卡普之王|通常の難易度でカープキングを倒す|일반 난이도에서 카프 킹 처치|Töte Karp King auf normalem Schwierigkeitsgrad|Tuer Karp King en difficulté normale
normalSatan_desc|Kill Satan on normal difficulty|Tapa Saatana normaalilla vaikeusasteella|Mate Satã na dificuldade pesadelo|Убить Satan на нормальной сложности|在正常难度下杀死撒旦|通常の難易度でサタンを倒す|일반 난이도에서 사탄 처치|Töte Satan auf normalem Schwierigkeitsgrad|Tuer Satan en difficulté normale
normalMevius_desc|Kill Mevius on normal difficulty|Tapa Mevius normaalilla vaikeusasteella|Mate Mevius na dificuldade pesadelo|Убить Mevius на нормальной сложности|在正常难度下杀死梅维斯|通常の難易度でメビウスを倒す|일반 난이도에서 메비우스 처치|Töte Mevius auf normalem Schwierigkeitsgrad|Tuer Mevius en difficulté normale
normalOdin_desc|Kill Corrupted Odin on normal difficulty|Tapa Corrupted Odin normaalilla vaikeusasteella|Mate Odin Corrompido na dificuldade pesadelo|Убить Corrupted Odin на нормальной сложности |在正常难度下杀死堕落的奥丁 |通常の難易度で堕落したオーディンを倒す |일반 난이도에서 부패한 오딘 처치 |Töte Corrupted Odin auf normalem Schwierigkeitsgrad |Tuer Corrupted Odin en difficulté normale 
satansHands30sec_desc|Destroy Satan's Hands in less than 30 seconds.|Tuhoa Saatanan Kädet alle 30 sekunnissa.|Destrua as Mãos de Satã em menos de 30 segundos.|Уничтожьте руки Сатаны менее чем за 30 секунд.|在 30 秒内摧毁撒旦之手。|30 秒以内にサタンの手を破壊します。|30초 이내에 사탄의 손을 파괴하세요.|Zerstöre Satans Hände in weniger als 30 Sekunden.|Détruisez les mains de Satan en moins de 30 secondes.
uberDamien01_desc|Slay Damien in Fallen Inoya|Tapa Damien Fallen Inoyassa|Mate Damien na Queda de Inoya|Убейте Дэмиена в Fallen Inoya|在堕落的伊诺亚杀死达米安|堕落したイノヤでダミアンを倒す|타락한 이노야에서 데미안을 처치하세요|Töte Damien im gefallenen Inoya|Tuez Damien dans Fallen Inoya
uberReaper01_desc|Slay Shadow Reaper in the Shadow Realm|Slay Shadow Reaper varjomaailmassa|Mate o Ceifador das Sombras no Reino das Sombras|Убейте Shadow Reaper в Shadow Realm|在暗影领域杀死暗影收割者|シャドウ レルムでシャドウ リーパーを倒す|그림자 영역에서 섀도우 리퍼를 처치하세요|Töte Shadow Reaper im Schattenreich|Tuez Shadow Reaper dans le Royaume des Ombres
uberSungLee01_desc|Slay Sung Lee in the Eternal Battle Fields|Tapa Sung Lee ikuisilla taistelukentillä|Mate Sung Lee nos Campos Eternos de Batalha|Убейте Sung Lee в Eternal Battle Fields|在永恒战场杀死宋李|永遠の戦場でソン リーを倒す|영원한 전장에서 숭 리를 처치하세요|Töte Sung Lee auf den ewigen Schlachtfeldern|Tuez Sung Lee dans les Champs de Bataille Éternels
uberKingRakhul01_desc|Slay King Rakhul in the Chaos Tower|Tapa kuningas Rakhul Chaos Towerissa|Mate o Rei Rakhul na Torre do Caos|Убейте короля Rakhul в Chaos Tower|在混沌之塔杀死拉胡尔国王|カオス タワーでキング ラクールを倒す|카오스 타워에서 라쿨 왕을 처치하세요|Töte König Rakhul im Chaosturm|Tuez le Roi Rakhul dans la Tour du Chaos
uberGabriel01_desc|Defeat Gabriel in the Circle of Hatred|Voita Gabriel vihan kehässä|Derrote Gabriel no Círculo do Ódio|Победите Gabriel в Circle of Hatred|在仇恨之圈击败加布里埃尔|サークル オブ ヘイトでガブリエルを倒す|증오의 원에서 가브리엘을 물리치세요|Besiege Gabriel im Kreis des Hasses|Vainquez Gabriel dans le Cercle de la Haine
uberSungLee05_desc|Slay Sung Lee in the Eternal Battle Fields on the Hell 5 difficulty|Slay Sung Lee Eternal Battle Fields on the Hell 5 -ongelmassa|Mate Sung Lee nos Campos Eternos de Batalha na dificuldade Inferno 5|Убейте Sung Lee в Eternal Battle Fields на уровне сложности Hell 5|在地狱 5 难度的永恒战场杀死宋李|地獄 5 難易度で永遠の戦場でソン リーを倒す|지옥 5 난이도의 영원한 전장에서 숭 리를 처치하세요|Töte Sung Lee auf den ewigen Schlachtfeldern auf dem Schwierigkeitsgrad Hölle 5|Tuez Sung Lee dans les Champs de Bataille Éternels en difficulté Enfer 5
uberReaper05_desc|Slay Shadow Reaper in the Shadow Realm on the Hell 5 difficulty|Slay Shadow Reaper in the Shadow Realm on the Hell 5 -vaikeusaste|Mate o Ceifador das Sombras no Reino das Sombras na dificuldade Inferno 5|Убейте Shadow Reaper в Shadow Realm на уровне сложности Hell 5|在地狱 5 难度的暗影领域杀死暗影收割者|地獄 5 難易度でシャドウ レルムでシャドウ リーパーを倒す|지옥 5 난이도의 섀도우 영역에서 섀도우 리퍼를 처치하세요|Töte Shadow Reaper im Schattenreich auf dem Schwierigkeitsgrad Hölle 5|Tuez Shadow Reaper dans le Royaume des Ombres en difficulté Enfer 5
uberDamien05_desc|Slay Damien in Fallen Inoya on the Hell 5 difficulty|Tapa Damien Fallen Inoya on the Hell 5 -ongelmassa|Mate Damien na Queda de Inoya na dificuldade Inferno 5|Убейте Damien в Fallen Inoya на уровне сложности Hell 5|在地狱 5 难度的堕落的伊诺亚杀死达米安|堕落したイノヤでダミアンを倒す|지옥 5 난이도의 타락한 이노야에서 데미안을 처치하세요|Töte Damien im gefallenen Inoya auf dem Schwierigkeitsgrad Hölle 5|Tuez Damien dans Fallen Inoya en difficulté Enfer 5
uberKingRakhul05_desc|Slay King Rakhul in the Chaos Tower on the Hell 5 difficulty|Tapa kuningas Rakhul Chaos Tower on the Hell 5 -ongelmassa|Mate o Rei Rakhul na Torre do Caos na dificuldade Inferno 5|Убейте King Rakhul в Chaos Tower на уровне сложности Hell 5|在地狱 5 难度的混沌之塔杀死拉胡尔国王|地獄 5 難易度でカオス タワーでキング ラクールを倒す|지옥 5 난이도의 카오스 타워에서 라쿨 왕을 처치하세요|Töte König Rakhul im Chaosturm auf dem Schwierigkeitsgrad Hölle 5|Tuez le Roi Rakhul dans la Tour du Chaos en difficulté Enfer 5
uberGabriel05_desc|Defeat Gabriel in the Circle of Hatred on Hell 5 difficulty|Päihitä Gabriel vihan ympyrässä Hell 5:n vaikeusasteessa|Derrote Gabriel no Círculo do Ódio na dificuldade Inferno 5|Убейте Gabriel в Circle of Hatred на уровне сложности Hell 5|在地狱 5 难度的仇恨之圈击败加布里埃尔|地獄 5 難易度でサークル オブ ヘイトでガブリエルを倒す|지옥 5 난이도의 증오의 원에서 가브리엘을 물리치세요|Besiege Gabriel im Kreis des Hasses auf dem Schwierigkeitsgrad Hölle 5|Vainquez Gabriel dans le Cercle de la Haine en difficulté Enfer 5
uberSungLeeInferno_desc|Slay Sung Lee in the Eternal Battle Fields on the Inferno difficulty|Slay Sung Lee Eternal Battle Fields on the Inferno -vaikeusasteessa|Mate Sung Lee nos Eternal Battle Fields na dificuldade Inferno|Убейте Сунга Ли на Полях Вечных Битв на уровне сложности «Инферно»|在地狱难度的永恒战场中杀死 Sung Lee|難易度インフェルノのエターナル バトル フィールドでソン リーを倒す|Inferno 난이도의 Eternal Battle Fields에서 Sung Lee 처치|Töte Sung Lee auf den Ewigen Schlachtfeldern im Schwierigkeitsgrad „Inferno“|Tuez Sung Lee dans les champs de bataille éternels en difficulté Inferno
uberReaperInferno_desc|Slay Shadow Reaper in the Shadow Realm on the Inferno difficulty|Slay Shadow Reaper in the Shadow Realm Infernon vaikeusasteessa|Mate Shadow Reaper no Shadow Realm na dificuldade Inferno|Убейте Жнеца Теней в Царстве Теней на уровне сложности «Инферно»|在地狱难度的暗影领域中杀死暗影收割者|難易度インフェルノのシャドウ レルムでシャドウ リーパーを倒す|Inferno 난이도의 Shadow Realm에서 Shadow Reaper 처치|Töte Shadow Reaper im Schattenreich im Schwierigkeitsgrad „Inferno“|Tuez Shadow Reaper dans le royaume des ombres en difficulté Inferno
uberDamienInferno_desc|Slay Damien in Fallen Inoya on the Inferno difficulty|Tapa Damien Fallen Inoyassa Helvetin vaikeudessa|Mate Damien em Fallen Inoya na dificuldade Inferno|Убейте Дэмиена в Падшей Инойе на уровне сложности «Инферно»|在地狱难度的堕落伊诺亚中杀死 Damien|難易度インフェルノのフォールン イノヤでダミアンを倒す|Inferno 난이도의 Fallen Inoya에서 Damien 처치|Töte Damien im Gefallenen Inoya im Schwierigkeitsgrad „Inferno“|Tuez Damien dans Fallen Inoya en difficulté Inferno
uberKingRakhulInferno_desc|Slay King Rakhul in the Chaos Tower on the Inferno difficulty|Tapa kuningas Rakhul Chaos Towerissa Inferno-vaikeusasteessa|Mate King Rakhul na Chaos Tower na dificuldade Inferno|Убейте Короля Рахула в Башне Хаоса на уровне сложности «Инферно»|在地狱难度的混沌之塔中杀死拉胡尔国王|難易度インフェルノのカオス タワーでキング ラクールを倒す|Inferno 난이도의 Chaos Tower에서 King Rakhul 처치|Töte König Rakhul im Chaosturm im Schwierigkeitsgrad „Inferno“|Tuez le roi Rakhul dans la tour du chaos en difficulté Inferno
uberGabrielInferno_desc|Defeat Gabriel in the Circle of Hatred on Inferno difficulty|Päihitä Gabriel Inferno-vaikeusasteessa Vihan ympyrässä|Derrote Gabriel no Circle of Hatred na dificuldade Inferno |Победите Габриэля в Круге Ненависти на уровне сложности «Инферно» |在地狱难度的仇恨之圈中击败加布里埃尔 |難易度インフェルノのサークル オブ ヘイトでガブリエルを倒す |Inferno 난이도의 Circle of Hatred에서 Gabriel 처치 |Besiege Gabriel im Kreis des Hasses im Schwierigkeitsgrad „Inferno“ |Vainquez Gabriel dans le cercle de la haine en difficulté Inferno 
coffeeClub_desc|Join Sarcaster's Coffee Club!|Liity Sarcaster's Coffee Clubiin!|Entre no Clube do Café de Sarcaster!|Присоединяйтесь к Sarcaster's Coffee Club!|加入 Sarcaster 的咖啡俱乐部！|サルカスターのコーヒー クラブに参加しましょう!|사캐스터의 커피 클럽에 가입하세요!|Tritt Sarcasters Kaffeeclub bei!|Rejoignez le Sarcaster's Coffee Club !
sheepLevel_desc|Enter the gate's of Sheeponia!|Sisään Sheeponian portista!|Entre nos portões de Sheeponia!|Войдите во врата Sheeponia!|进入 Sheeponia 之门！|シーポニアの門をくぐりましょう!|시포니아의 문으로 들어가세요!|Betrete die Tore von Sheeponia!|Entrez par les portes de Sheeponia !
normalSC_desc|Complete normal difficulty on Softcore|Täydellinen normaali vaikeusaste Softcorella|Complete a dificuldade normal no Softcore|Пройти нормальную сложность на Softcore|完成 Softcore 上的正常难度|ソフトコアでノーマル難易度をクリア|Softcore에서 일반 난이도 완료|Schließe den normalen Schwierigkeitsgrad auf Softcore ab|Difficulté normale complète sur Softcore
nightmareSC_desc|Complete nightmare difficulty on Softcore|Täydellinen painajainen vaikeus Softcorella |Complete a dificuldade pesadelo no Softcore|Пройти кошмарную сложность на Softcore|完成 Softcore 上的噩梦难度|ソフトコアでナイトメア難易度をクリア|Softcore에서 악몽 난이도 완료|Schließe den Albtraum-Schwierigkeitsgrad auf Softcore ab|Difficulté cauchemar complète sur Softcore
hellSC_desc|Complete hell difficulty on Softcore|Täydellinen helvetin vaikeus Softcorella|Complete a dificuldade inferno no Softcore|Пройти адскую сложность на Softcore|完成 Softcore 上的地狱难度|ソフトコアでヘル難易度をクリア|Softcore에서 지옥 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad auf Softcore ab|Difficulté enfer complète sur Softcore
hellSC05_desc|Complete hell 5 difficulty on Softcore|Täydellinen helvetin 5 vaikeusaste Softcorella|Complete a dificuldade inferno 5 no Softcore|Пройти адскую сложность 5 на Softcore|完成 Softcore 上的地狱 5 难度|ソフトコアでヘル難易度 5 をクリア|Softcore에서 지옥 5 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad 5 auf Softcore ab|Difficulté enfer complète 5 sur Softcore
normalHC_desc|Complete normal difficulty on Hardcore|Täydellinen normaali vaikeusaste Hardcorella|Complete a dificuldade normal no Hardcore|Пройти нормальную сложность на Hardcore|完成 Hardcore 上的正常难度|ハードコアでノーマル難易度をクリア|Hardcore에서 일반 난이도 완료|Schließe den normalen Schwierigkeitsgrad auf Hardcore ab|Difficulté normale complète sur Hardcore
nightmareHC_desc|Complete nightmare difficulty on Hardcore|Täydellinen painajainen vaikeus Hardcorella|Complete a dificuldade pesadelo no Hardcore|Пройти кошмарную сложность на Hardcore|完成 Hardcore 上的噩梦难度|ハードコアでナイトメア難易度をクリア|Hardcore에서 악몽 난이도 완료|Schließe den Albtraum-Schwierigkeitsgrad auf Hardcore ab|Difficulté cauchemar complète sur Hardcore
hellHC_desc|Complete hell difficulty on Hardcore|Täydellinen helvetin vaikeus Hardcorella|Complete a dificuldade inferno no Hardcore|Пройти адскую сложность на Hardcore|完成 Hardcore 上的地狱难度|ハードコアでヘル難易度をクリア|Hardcore에서 지옥 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad auf Hardcore ab|Difficulté enfer complète sur Hardcore
hellHC05_desc|Complete hell 5 difficulty on Hardcore|Täydellinen Hell 5 -vaikeusaste Hardcorella|Complete a dificuldade inferno 5 no Hardcore|Пройти адскую сложность 5 на Hardcore|完成 Hardcore 上的地狱 5 难度|ハードコアでヘル難易度 5 をクリア|Hardcore에서 지옥 5 난이도 완료|Schließe den Höllen-Schwierigkeitsgrad 5 auf Hardcore ab|Difficulté enfer complète 5 sur Hardcore
normalSsfSC_desc|Complete normal difficulty on Odyssey Softcore|Täydellinen normaali vaikeusaste Odyssey Softcorella|Complete a dificuldade normal no Softcore Odisseia|Пройти нормальную сложность на Odyssey Softcore|完成 Odyssey Softcore 上的正常难度|Odyssey Softcore でノーマル難易度をクリア|Odyssey Softcore에서 일반 난이도 완료|Schließe den Schwierigkeitsgrad „Normal“ auf Odyssey Softcore ab|Difficulté normale complète sur Odyssey Softcore
nightmareSsfSC_desc|Complete nightmare difficulty on Odyssey Softcore|Täydellinen painajainen Odyssey Softcoressa|Complete a dificuldade pesadelo no Softcore Odisseia|Пройти кошмарную сложность на Odyssey Softcore|完成 Odyssey Softcore 上的噩梦难度|Odyssey Softcore でナイトメア難易度をクリア|Odyssey Softcore에서 악몽 난이도 완료|Schließe den Schwierigkeitsgrad „Albtraum“ auf Odyssey Softcore ab|Difficulté cauchemar complète sur Odyssey Softcore
hellSsfSC_desc|Complete hell difficulty on Odyssey Softcore|Täydellinen helvetin vaikeus Odyssey Softcorella|Complete a dificuldade inferno no Softcore Odisseia|Пройти адскую сложность на Odyssey Softcore|完成 Odyssey Softcore 上的地狱难度|Odyssey Softcore でヘル難易度をクリア|Odyssey Softcore에서 지옥 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle“ auf Odyssey Softcore ab|Difficulté enfer complète sur Odyssey Softcore
hellSsfSC05_desc|Complete hell 5 difficulty on Odyssey Softcore|Täydellinen helvetin vaikeusaste Odyssey Softcorella|Complete a dificuldade inferno 5 no Softcore Odisseia|Пройти адскую сложность на Odyssey Softcore|完成 Odyssey Softcore 上的地狱 5 难度|Odyssey Softcore でヘル 5 難易度をクリア|Odyssey Softcore에서 지옥 5 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle 5“ auf Odyssey Softcore ab|Difficulté enfer complète 5 sur Odyssey Softcore
normalSsfHC_desc|Complete normal difficulty on Odyssey Hardcore|Täydellinen normaali vaikeusaste Odyssey Hardcoressa|Complete a dificuldade normal no Hardcore Odisseia|Пройти нормальную сложность на Odyssey Hardcore|完成 Odyssey Hardcore 上的正常难度|Odyssey Hardcore でノーマル難易度をクリア|Odyssey Hardcore에서 일반 난이도 완료|Schließe den Schwierigkeitsgrad „Normal“ auf Odyssey Hardcore ab|Difficulté normale complète sur Odyssey Hardcore
nightmareSsfHC_desc|Complete nightmare difficulty on Odyssey Hardcore|Täydellinen painajainen Odyssey Hardcoressa|Complete a dificuldade pesadelo no Hardcore Odisseia|Пройти кошмарную сложность на Odyssey Hardcore|完成 Odyssey Hardcore 上的噩梦难度|Odyssey Hardcore でナイトメア難易度をクリア|Odyssey Hardcore에서 악몽 난이도 완료|Schließe den Schwierigkeitsgrad „Albtraum“ auf Odyssey Hardcore ab|Difficulté cauchemar complète sur Odyssey Hardcore
hellSsfHC_desc|Complete hell difficulty on Odyssey Hardcore|Täydelliset helvetin vaikeudet Odyssey Hardcoressa|Complete a dificuldade inferno no Hardcore Odisseia|Пройти адскую сложность на Odyssey Hardcore|完成 Odyssey Hardcore 上的地狱难度|Odyssey Hardcore でヘル難易度をクリア|Odyssey Hardcore에서 지옥 난이도 완료|Schließe den Schwierigkeitsgrad „Hölle“ auf Odyssey Hardcore ab|Difficulté enfer complète sur Odyssey Hardcore
hellSsfHC05_desc|Complete hell 5 difficulty on Odyssey Hardcore|Täydellinen helvetin vaikeusaste Odyssey Hardcorella|Complete a dificuldade inferno 5 no Hardcore Odisseia|Пройти адскую сложность 5 на Odyssey Hardcore |完成 Odyssey Hardcore 上的地狱 5 难度 |Odyssey Hardcore でヘル 5 難易度をクリア |Odyssey Hardcore에서 지옥 5 난이도 완료 |Schließe den Schwierigkeitsgrad „Hölle 5“ auf Odyssey Hardcore ab |Difficulté enfer complète 5 sur Odyssey Hardcore 
infernoSC_desc|Complete inferno difficulty on Softcore|Täydellinen helvetin vaikeus Softcorella|Dificuldade inferno completa em Softcore|Полная сложность инферно на Softcore|软核模式完成地狱难度|ソフトコアでインフェルノ難易度をクリア|Softcore에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Softcore ab|Difficulté complète de l'enfer sur Softcore
infernoSsfSC_desc|Complete inferno difficulty on Odyssey Softcore|Täydellinen helvetin vaikeus Odyssey Softcoressa|Dificuldade inferno completa em Odyssey Softcore|Полная сложность инферно на Odyssey Softcore|软核模式完成奥德赛难度|オデッセイ ソフトコアでインフェルノ難易度をクリア|Odyssey Softcore에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Odyssey Softcore ab|Difficulté complète de l'enfer sur Odyssey Softcore
infernoHC_desc|Complete inferno difficulty on Hardcore|Täydellinen helvetin vaikeus Hardcorella|Dificuldade inferno completa em Hardcore|Полная сложность инферно на Hardcore|硬核模式完成地狱难度|ハードコアでインフェルノ難易度をクリア|Hardcore에서 인페르노 난이도 완료|Schließe den Inferno-Schwierigkeitsgrad auf Hardcore ab|Difficulté complète de l'enfer sur Hardcore
infernoSsfHC_desc|Complete inferno difficulty on Odyssey Hardcore|Täydellinen helvetin vaikeus Odyssey Hardcoressa|Dificuldade inferno completa em Odyssey Hardcore |Полная сложность инферно на Odyssey Hardcore |硬核模式完成地狱难度 |オデッセイ ハードコアでインフェルノ難易度をクリア |Odyssey Hardcore에서 인페르노 난이도 완료 |Schließe den Inferno-Schwierigkeitsgrad auf Odyssey Hardcore ab |Difficulté complète de l'enfer sur Odyssey Hardcore 
monstersKilled100_desc|Slay 100 Monsters|Tapa 100 hirviötä|Mate 100 Monstros|Убить 100 монстров|杀死 100 个怪物|モンスター100体を倒す|몬스터 100마리 처치|Töte 100 Monster|Tuez 100 monstres
monstersKilled400_desc|Slay 400 Monsters|Tapa 400 hirviötä|Mate 400 Monstros|Убить 400 монстров|杀死 400 个怪物|モンスター400体を倒す|몬스터 400마리 처치|Töte 400 Monster|Tuez 400 monstres
monstersKilled1600_desc|Slay 1600 Monsters|Tapa 1600 hirviötä|Mate 1600 Monstros|Убить 1600 монстров|杀死 1600 个怪物|モンスター1600体を倒す|몬스터 1600마리 처치|Töte 1600 Monster|Tuez 1600 monstres
monstersKilled6400_desc|Slay 6400 Monsters|Tapa 6400 Monsters|Mate 6400 Monstros|Убить 6400 монстров|杀死 6400 个怪物|モンスター6400体を倒す|몬스터 6400마리 처치|Töte 6400 Monster|Tuez 6400 monstres
monstersKilled25400_desc|Slay 25400 Monsters|Tapa 25400 hirviötä|Mate 25400 Monstros|Убить 25400 монстров|杀死 25400 个怪物|モンスター25400体を倒す|몬스터 25400마리 처치|Töte 25400 Monster|Tuez 25400 monstres
monstersKilled50000_desc|Slay 50000 Monsters|Tapa 50 000 hirviötä|Mate 50000 Monstros|Убить 50000 монстров|杀死 50000 个怪物|モンスター50000体を倒す|몬스터 50000마리 처치|Töte 50000 Monster|Tuez 50000 monstres
gold01_desc|Collect 100,000 Gold|Kerää 100 000 kultaa|Colete 100,000 de Ouro|Собрать 100 000 золота|收集 100,000 金币|ゴールド10万を集める|골드 100,000개 수집|Sammle 100.000 Gold|Récupérez 100 000 pièces d'or
gold02_desc|Collect 1,000,000 Gold|Kerää 1 000 000 kultaa |Colete 1,000,000 de Ouro|Собрать 1 000 000 золота|收集 1,000,000 金币|ゴールド100万を集める|골드 1,000,000개 수집|Sammle 1.000.000 Gold|Récupérez 1 000 000 pièces d'or
allHeroes100_desc|Obtain level 100 with Viking, Pyromancer, Marksman, Pirate, Nomad, Redneck and Necromancer|Hanki taso 100 Vikingillä, Pyromancerilla, Marksmanilla, Piratella, Nomadilla, Redneckillä ja Necromancerilla|Obtenha nível 100 com Viking, Piromante, Atirador, Pirata, Nômade, Caipira e Necromante|Получить 100 уровень викингом, пиромантом, стрелком, пиратом, кочевником, деревенщиной и некромантом|使用维京人、烈焰法师、神射手、海盗、游牧民、乡巴佬和死灵法师达到 100 级|バイキング、パイロマンサー、マークスマン、パイレーツ、ノマド、レッドネック、ネクロマンサーでレベル100に到達する|바이킹, 파이로맨서, 사수, 해적, 유목민, 레드넥, 네크로맨서로 레벨 100 달성|Erreiche Level 100 mit Wikinger, Pyromant, Scharfschütze, Pirat, Nomade, Hinterwäldler und Totenbeschwörer|Obtenez le niveau 100 avec Viking, Pyromancien, Tireur d'élite, Pirate, Nomade, Plouc et Nécromancien
